model,cell,condition,bin,count,mean_confidence,accuracy
fixed/absolute,detached,intact,3,16,0.37464499999999995,0.3125
fixed/absolute,duration,intact,3,16,0.37464499999999995,0.3125
fixed/absolute,joint,ambiguous,3,16,0.37464499999999995,0.3125
fixed/absolute,joint,intact,3,16,0.37464499999999995,0.3125
fixed/absolute,joint,removal,3,16,0.37464499999999995,0.3125
fixed/absolute,joint,reset,3,16,0.37464499999999995,0.3125
fixed/absolute,joint,shuffle,3,16,0.37464499999999995,0.3125
fixed/absolute,joint,swap,3,16,0.37464499999999995,0.3125
fixed/absolute,legato,intact,3,16,0.37464499999999995,0.3125
fixed/present,detached,intact,3,16,0.37464499999999995,0.3125
fixed/present,duration,intact,3,16,0.37464499999999995,0.3125
fixed/present,joint,ambiguous,3,16,0.37464499999999995,0.3125
fixed/present,joint,intact,3,16,0.37464499999999995,0.3125
fixed/present,joint,removal,3,16,0.37464499999999995,0.3125
fixed/present,joint,reset,3,16,0.37464499999999995,0.3125
fixed/present,joint,shuffle,3,16,0.37464499999999995,0.3125
fixed/present,joint,swap,3,16,0.37464499999999995,0.3125
fixed/present,legato,intact,3,16,0.37464499999999995,0.3125
fixed/recency,detached,intact,3,7,0.35725,0.42857142857142855
fixed/recency,detached,intact,9,9,0.9509999999987221,0.0
fixed/recency,duration,intact,3,7,0.35725,0.2857142857142857
fixed/recency,duration,intact,9,9,0.951,0.0
fixed/recency,joint,ambiguous,3,10,0.35724999999999996,0.3
fixed/recency,joint,ambiguous,9,6,0.951,0.0
fixed/recency,joint,intact,3,10,0.35724999999999996,0.3
fixed/recency,joint,intact,9,6,0.951,0.0
fixed/recency,joint,removal,3,10,0.35724999999999996,0.3
fixed/recency,joint,removal,9,6,0.951,0.0
fixed/recency,joint,reset,3,12,0.35725,0.3333333333333333
fixed/recency,joint,reset,9,4,0.951,0.0
fixed/recency,joint,shuffle,3,8,0.35724999999999996,0.375
fixed/recency,joint,shuffle,9,8,0.951,0.0
fixed/recency,joint,swap,3,10,0.35724999999999996,0.3
fixed/recency,joint,swap,9,6,0.951,0.0
fixed/recency,legato,intact,3,4,0.35724999999999996,0.5
fixed/recency,legato,intact,9,12,0.9510000000000001,0.0
fixed/reference,detached,intact,3,16,0.37464499999999995,0.3125
fixed/reference,duration,intact,3,16,0.37464499999999995,0.3125
fixed/reference,joint,ambiguous,3,16,0.37464499999999995,0.3125
fixed/reference,joint,intact,3,16,0.37464499999999995,0.3125
fixed/reference,joint,removal,3,16,0.37464499999999995,0.3125
fixed/reference,joint,reset,3,16,0.37464499999999995,0.3125
fixed/reference,joint,shuffle,3,16,0.37464499999999995,0.3125
fixed/reference,joint,swap,3,16,0.37464499999999995,0.3125
fixed/reference,legato,intact,3,16,0.37464499999999995,0.3125
fixed/transition1,detached,intact,3,7,0.374645,0.42857142857142855
fixed/transition1,detached,intact,5,5,0.5189981424825949,0.0
fixed/transition1,detached,intact,9,4,0.9990199999969764,0.0
fixed/transition1,duration,intact,3,16,0.37464499999999995,0.3125
fixed/transition1,joint,ambiguous,3,14,0.374645,0.2857142857142857
fixed/transition1,joint,ambiguous,9,2,0.99902,0.0
fixed/transition1,joint,intact,3,14,0.374645,0.2857142857142857
fixed/transition1,joint,intact,9,2,0.99902,0.0
fixed/transition1,joint,removal,3,14,0.374645,0.2857142857142857
fixed/transition1,joint,removal,9,2,0.99902,0.0
fixed/transition1,joint,reset,3,14,0.374645,0.2857142857142857
fixed/transition1,joint,reset,9,2,0.99902,0.0
fixed/transition1,joint,shuffle,3,14,0.374645,0.2857142857142857
fixed/transition1,joint,shuffle,9,2,0.99902,0.0
fixed/transition1,joint,swap,3,14,0.374645,0.2857142857142857
fixed/transition1,joint,swap,9,2,0.99902,0.0
fixed/transition1,legato,intact,3,4,0.37464499999999995,0.5
fixed/transition1,legato,intact,5,3,0.5015431038416048,0.0
fixed/transition1,legato,intact,7,1,0.7033698075681202,0.0
fixed/transition1,legato,intact,9,8,0.99902,0.0
fixed/transition2,detached,intact,3,16,0.37464499999999995,0.3125
fixed/transition2,duration,intact,3,16,0.37464499999999995,0.3125
fixed/transition2,joint,ambiguous,3,16,0.37464499999999995,0.3125
fixed/transition2,joint,intact,3,16,0.37464499999999995,0.3125
fixed/transition2,joint,removal,3,16,0.37464499999999995,0.3125
fixed/transition2,joint,reset,3,16,0.37464499999999995,0.3125
fixed/transition2,joint,shuffle,3,16,0.37464499999999995,0.3125
fixed/transition2,joint,swap,3,16,0.37464499999999995,0.3125
fixed/transition2,legato,intact,3,16,0.37464499999999995,0.3125
fixed/transition3,detached,intact,3,16,0.37464499999999995,0.3125
fixed/transition3,duration,intact,3,16,0.37464499999999995,0.3125
fixed/transition3,joint,ambiguous,3,16,0.37464499999999995,0.3125
fixed/transition3,joint,intact,3,16,0.37464499999999995,0.3125
fixed/transition3,joint,removal,3,16,0.37464499999999995,0.3125
fixed/transition3,joint,reset,3,16,0.37464499999999995,0.3125
fixed/transition3,joint,shuffle,3,16,0.37464499999999995,0.3125
fixed/transition3,joint,swap,3,16,0.37464499999999995,0.3125
fixed/transition3,legato,intact,3,16,0.37464499999999995,0.3125
map/absolute,detached,intact,3,1,0.37464499999999995,1.0
map/absolute,detached,intact,9,15,0.9990199999999999,1.0
map/absolute,duration,intact,3,2,0.37464499999999995,0.5
map/absolute,duration,intact,9,14,0.9990199999999999,1.0
map/absolute,joint,ambiguous,5,12,0.5230008910995871,0.5
map/absolute,joint,ambiguous,9,4,0.9990199999999998,0.5
map/absolute,joint,intact,3,2,0.37464499999999995,0.5
map/absolute,joint,intact,9,14,0.9990199999999999,1.0
map/absolute,joint,removal,3,16,0.37464499999999995,0.3125
map/absolute,joint,reset,3,16,0.37464499999999995,0.3125
map/absolute,joint,shuffle,3,2,0.37464499999999995,0.5
map/absolute,joint,shuffle,9,14,0.9990199999999999,1.0
map/absolute,joint,swap,3,2,0.37464499999999995,0.5
map/absolute,joint,swap,9,14,0.9990199999999999,1.0
map/absolute,legato,intact,3,2,0.37464499999999995,0.5
map/absolute,legato,intact,9,14,0.9990199999999999,1.0
map/present,detached,intact,3,16,0.37464499999999995,0.3125
map/present,duration,intact,3,16,0.37464499999999995,0.3125
map/present,joint,ambiguous,3,16,0.37464499999999995,0.3125
map/present,joint,intact,3,16,0.37464499999999995,0.3125
map/present,joint,removal,3,16,0.37464499999999995,0.3125
map/present,joint,reset,3,16,0.37464499999999995,0.3125
map/present,joint,shuffle,3,16,0.37464499999999995,0.3125
map/present,joint,swap,3,16,0.37464499999999995,0.3125
map/present,legato,intact,3,16,0.37464499999999995,0.3125
map/recency,detached,intact,9,16,0.951,0.4375
map/recency,duration,intact,9,16,0.951,0.5
map/recency,joint,ambiguous,9,16,0.951,0.5
map/recency,joint,intact,9,16,0.951,0.5
map/recency,joint,removal,3,16,0.35724999999999996,0.3125
map/recency,joint,reset,3,16,0.35724999999999996,0.3125
map/recency,joint,shuffle,9,16,0.951,0.625
map/recency,joint,swap,9,16,0.951,0.5
map/recency,legato,intact,9,16,0.951,0.5
map/reference,detached,intact,3,1,0.37464499999999995,1.0
map/reference,detached,intact,9,15,0.9990199999999999,1.0
map/reference,duration,intact,3,2,0.37464499999999995,0.5
map/reference,duration,intact,9,14,0.9990199999999999,1.0
map/reference,joint,ambiguous,5,12,0.5151133476873418,0.5
map/reference,joint,ambiguous,9,4,0.9990199999999998,0.5
map/reference,joint,intact,3,2,0.37464499999999995,0.5
map/reference,joint,intact,9,14,0.9990199999999999,1.0
map/reference,joint,removal,3,16,0.37464499999999995,0.3125
map/reference,joint,reset,3,16,0.37464499999999995,0.3125
map/reference,joint,shuffle,3,2,0.37464499999999995,0.5
map/reference,joint,shuffle,9,14,0.9990199999999999,1.0
map/reference,joint,swap,3,2,0.37464499999999995,0.5
map/reference,joint,swap,9,14,0.9990199999999999,1.0
map/reference,legato,intact,3,2,0.37464499999999995,0.5
map/reference,legato,intact,9,14,0.9990199999999999,1.0
map/transition1,detached,intact,5,14,0.5157071906147553,0.42857142857142855
map/transition1,detached,intact,9,2,0.99902,0.5
map/transition1,duration,intact,5,10,0.5457499956047714,0.7
map/transition1,duration,intact,6,1,0.6225354715481707,1.0
map/transition1,duration,intact,7,1,0.7025005433206446,1.0
map/transition1,duration,intact,9,4,0.9990199999999998,0.5
map/transition1,joint,ambiguous,4,2,0.49987636486560283,0.5
map/transition1,joint,ambiguous,5,10,0.5189164056097133,0.5
map/transition1,joint,ambiguous,9,4,0.9990199999999998,0.5
map/transition1,joint,intact,5,9,0.5268136330511344,0.7777777777777778
map/transition1,joint,intact,7,1,0.7025005433206446,1.0
map/transition1,joint,intact,9,6,0.9990199999999998,0.6666666666666666
map/transition1,joint,removal,3,16,0.37464499999999995,0.3125
map/transition1,joint,reset,3,16,0.37464499999999995,0.3125
map/transition1,joint,shuffle,5,8,0.5307404358411462,0.375
map/transition1,joint,shuffle,6,2,0.6474195804305803,1.0
map/transition1,joint,shuffle,9,6,0.9990199999999998,0.6666666666666666
map/transition1,joint,swap,5,9,0.5268136330511344,0.7777777777777778
map/transition1,joint,swap,7,1,0.7025005433206446,1.0
map/transition1,joint,swap,9,6,0.9990199999999998,0.6666666666666666
map/transition1,legato,intact,5,9,0.5520517088913522,0.7777777777777778
map/transition1,legato,intact,6,3,0.6100821470517018,0.3333333333333333
map/transition1,legato,intact,9,4,0.9990199999999998,0.5
map/transition2,detached,intact,3,1,0.37464499999999995,1.0
map/transition2,detached,intact,9,15,0.9990199999999999,1.0
map/transition2,duration,intact,3,2,0.37464499999999995,0.5
map/transition2,duration,intact,9,14,0.9990199999999999,1.0
map/transition2,joint,ambiguous,4,2,0.49987636486560283,0.5
map/transition2,joint,ambiguous,5,10,0.525783718110428,0.5
map/transition2,joint,ambiguous,9,4,0.9990199999999998,0.5
map/transition2,joint,intact,3,2,0.37464499999999995,0.5
map/transition2,joint,intact,9,14,0.9990199999999999,1.0
map/transition2,joint,removal,3,16,0.37464499999999995,0.3125
