group,cell,condition,variant,window_count,valid_count,candidate_count,cluster_count,concentration,disagreement,unknown_mass,available
cea-08,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,12,10,1,1,0.830416114149341,0.16958388585065898,0.16958388585065898,1
cea-08,detached,intact,0,4,4,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,12,11,1,1,0.9148704418298937,0.08512955817010626,0.08512955817010626,1
cea-08,detached,intact,1,4,4,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,detached,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,0,14,13,2,2,0.8639810195362595,0.1360189804637405,0.07210479815859583,1
cea-08,legato,intact,0,12,10,1,1,0.8332387583391526,0.16676124166084738,0.16676124166084738,1
cea-08,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,0,12,11,2,2,0.8399676465683001,0.16003235343169986,0.08402472858146193,1
cea-08,legato,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,0,14,14,2,2,0.9339583524372834,0.06604164756271658,0.0,1
cea-08,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,1,14,13,2,2,0.8639810195362595,0.1360189804637405,0.07210479815859583,1
cea-08,legato,intact,1,12,10,1,1,0.8332387583391526,0.16676124166084738,0.16676124166084738,1
cea-08,legato,intact,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,1,12,11,2,2,0.8399676465683001,0.16003235343169986,0.08402472858146193,1
cea-08,legato,intact,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,1,14,14,2,2,0.9339583524372834,0.06604164756271658,0.0,1
cea-08,legato,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-08,legato,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,0,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,duration,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,0,10,8,1,1,0.7998916296423463,0.20010837035765372,0.20010837035765372,1
cea-08,duration,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,0,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,duration,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,0,10,8,1,1,0.7968548842185519,0.20314511578144812,0.20314511578144812,1
cea-08,duration,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,1,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,duration,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,1,10,9,2,2,0.8120488680124768,0.18795113198752322,0.10157486939912819,1
cea-08,duration,intact,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,1,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,duration,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,1,10,8,1,1,0.7960816305481451,0.20391836945185493,0.20391836945185493,1
cea-08,duration,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,duration,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,0,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,0,10,8,1,1,0.7998916296423463,0.20010837035765372,0.20010837035765372,1
cea-08,joint,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,0,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
