front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
map,cea-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0031901132582136823,0.0,0.007670454545454546,0.009710227272727273,0.0831875,0.08
mixture,cea-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0031901132582136823,0.0,0.007670454545454546,0.009710227272727273,0.0831875,0.08
repaired,cea-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.007258178264100842,0.0,0.007670454545454546,0.009710227272727273,0.0831875,0.08
streaming,cea-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.06645506915464089,0.0,0.007670454545454546,0.009710227272727273,0.0831875,0.08
fixed,cea-08,detached,intact,0,11,10,8,5,0.5,0.45454545454545453,0.47619047619047616,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.00748760917441621,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,cea-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.010380027876698944,0.0,0.0,0.0,0.0535625,0.0535625
map,cea-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.003171542145624186,0.0,0.007306818181818181,0.009710227272727271,0.0831875,0.092
mixture,cea-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.003171542145624186,0.0,0.007306818181818181,0.009710227272727271,0.0831875,0.092
repaired,cea-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004811693082299451,0.0,0.007306818181818181,0.009710227272727271,0.0831875,0.092
streaming,cea-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.07328233437396553,0.0,0.007306818181818181,0.009710227272727271,0.0831875,0.092
fixed,cea-08,detached,intact,1,11,10,8,5,0.5,0.45454545454545453,0.47619047619047616,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.0030953340666958484,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,cea-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.010380027876698944,0.0,0.0,0.0,0.0535625,0.0535625
map,cea-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0052087225485067945,0.0,0.010579545454545454,0.011232954545454544,0.0831875,0.072
mixture,cea-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0052087225485067945,0.0,0.010579545454545454,0.011232954545454544,0.0831875,0.072
repaired,cea-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004894035978295671,0.0,0.010579545454545454,0.011232954545454544,0.0831875,0.072
streaming,cea-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.16270044118021657,0.0,0.010579545454545454,0.011232954545454544,0.0831875,0.072
fixed,cea-08,legato,intact,0,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.020293463177050053,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,cea-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022193374160091444,0.0,0.0,0.0,0.0535625,0.0535625
map,cea-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0032993915853620974,0.0,0.010215909090909091,0.011017045454545455,0.0831875,0.084
mixture,cea-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0032993915853620974,0.0,0.010215909090909091,0.011017045454545455,0.0831875,0.084
repaired,cea-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004994123695579086,0.0,0.010215909090909091,0.011017045454545455,0.0831875,0.084
streaming,cea-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.15111604193461298,0.0,0.010215909090909091,0.011017045454545455,0.0831875,0.084
fixed,cea-08,legato,intact,1,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.01830792264075462,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,cea-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022193374160091444,0.0,0.0,0.0,0.0535625,0.0535625
map,cea-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0007341044330490088,0.0,0.0094375,0.010431818181818183,0.0945625,0.1
mixture,cea-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0007341044330490088,0.0,0.0094375,0.010431818181818183,0.0945625,0.1
repaired,cea-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.001681520485096783,0.0,0.0094375,0.010431818181818183,0.0945625,0.1
streaming,cea-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.837993042269906,0.0,0.0094375,0.010431818181818183,0.0945625,0.1
fixed,cea-08,duration,intact,0,11,11,9,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,1,0,0.09090909090909091,0.0,0.8181818181818182,0.8181818181818182,0.03792939233579397,0.0,0.017895833333333333,0.02076388888888889,0.00275,0.0
oracle-boundary,cea-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00024025482371267418,0.0,0.0,0.0,0.055125,0.055125
map,cea-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.000737554293495131,0.0,0.0094375,0.010545454545454545,0.0945625,0.1
mixture,cea-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.000737554293495131,0.0,0.0094375,0.010545454545454545,0.0945625,0.1
repaired,cea-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0016941510042841714,0.0,0.0094375,0.010545454545454545,0.0945625,0.1
streaming,cea-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.837710209379893,0.0,0.0094375,0.010545454545454545,0.0945625,0.1
fixed,cea-08,duration,intact,1,11,11,9,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,1,0,0.09090909090909091,0.0,0.8181818181818182,0.8181818181818182,0.038161625520530075,0.0,0.017895833333333333,0.02076388888888889,0.00275,0.0
oracle-boundary,cea-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00024025482371267418,0.0,0.0,0.0,0.055125,0.055125
