model,group,cell,condition,accuracy,paired_success,log_loss,brier,entropy,unknown_mass,confidence
map/absolute,cea-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/present,cea-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-08,detached,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
map/reference,cea-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition1,cea-08,detached,intact,0.0,0.0,0.7605915682680938,0.5663254083877787,0.7017597757166218,1.9999999999999998e-05,0.5316499161195125
map/transition2,cea-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition3,cea-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
mixture/absolute,cea-08,detached,intact,1.0,1.0,0.13838106993068608,0.036225191746088625,0.3831103465322051,0.1273741748759424,0.8717880875771875
mixture/present,cea-08,detached,intact,0.5,0.0,1.1191769574670012,0.6022260043414358,1.4770909728406534,0.1273741748759424,0.32693144088242015
mixture/recency,cea-08,detached,intact,0.0,0.0,7.0451558683988615,1.7068334086838024,0.7050823590452105,0.12822936528837223,0.8298837573681261
mixture/reference,cea-08,detached,intact,1.0,1.0,0.13838106993068608,0.036225191746088625,0.3831103465322051,0.1273741748759424,0.8717880875771875
mixture/transition1,cea-08,detached,intact,0.0,0.0,0.8979921576848183,0.5848099088253239,0.9853860242213486,0.1273741748759424,0.4639603765871112
mixture/transition2,cea-08,detached,intact,1.0,1.0,0.13838106993068608,0.036225191746088625,0.3831103465322051,0.1273741748759424,0.8717880875771875
mixture/transition3,cea-08,detached,intact,1.0,1.0,0.13838106993068608,0.036225191746088625,0.3831103465322051,0.1273741748759424,0.8717880875771875
repaired/absolute,cea-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/present,cea-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
