model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95,entropy,entropy_lower95,entropy_upper95,unknown_mass,unknown_mass_lower95,unknown_mass_upper95,confidence,confidence_lower95,confidence_upper95
fixed/absolute,detached,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,duration,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,joint,ambiguous,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,joint,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,joint,removal,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,joint,reset,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,joint,shuffle,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,joint,swap,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/absolute,legato,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,detached,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
