group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
cea-08,detached,intact,0,0.1,0.068,1,21.15665891746838,0.000707208
cea-08,detached,intact,0,0.1,0.068,1,15.870116292008074,0.000329791
cea-08,detached,intact,0,0.096,0.064,1,11.188281645016424,0.000607
cea-08,detached,intact,0,0.064,0.032,1,4.185994855862096,0.000391167
cea-08,detached,intact,0,0.1,0.068,1,21.15449425094395,0.000259416
cea-08,detached,intact,0,0.096,0.064,1,15.804266186492558,0.000576084
cea-08,detached,intact,0,0.092,0.06,1,10.485186619617322,0.000287708
cea-08,detached,intact,0,0.08,0.048,1,11.18786012121554,0.000535083
cea-08,detached,intact,0,0.1,0.068,1,21.14911417852061,0.000377083
cea-08,detached,intact,0,0.096,0.064,1,14.930470525853629,0.000674042
cea-08,detached,intact,0,0.072,0.04,1,6.984604388616839,0.000362625
cea-08,detached,intact,1,0.1,0.068,1,21.15665891746838,0.000701667
cea-08,detached,intact,1,0.1,0.068,1,15.870116292008074,0.00032625
cea-08,detached,intact,1,0.088,0.056,1,9.778394561776278,0.000724292
cea-08,detached,intact,1,0.08,0.048,1,11.187962156005348,0.000319375
cea-08,detached,intact,1,0.1,0.068,1,21.15449425094395,0.000258042
cea-08,detached,intact,1,0.096,0.064,1,15.804266186492558,0.000562542
cea-08,detached,intact,1,0.096,0.064,1,11.17075652069946,0.000227166
cea-08,detached,intact,1,0.064,0.032,1,4.186003462384988,0.000653292
cea-08,detached,intact,1,0.1,0.068,1,21.14911417852061,0.000373583
cea-08,detached,intact,1,0.096,0.064,1,14.930470525853629,0.000685458
cea-08,detached,intact,1,0.072,0.04,1,6.984604388616839,0.0003685
cea-08,legato,intact,0,0.104,0.072,1,22.40166198210108,0.000629417
cea-08,legato,intact,0,0.096,0.064,1,14.916920449503047,0.000279042
cea-08,legato,intact,0,0.088,0.056,1,9.778705495859931,0.000653334
cea-08,legato,intact,0,0.076,0.044,1,5.756194234853761,0.000316666
cea-08,legato,intact,0,0.108,0.076,1,23.658378141466283,0.000176
cea-08,legato,intact,0,0.096,0.064,1,15.804681591319499,0.00047525
cea-08,legato,intact,0,0.084,0.052,1,9.080130111694412,0.0002725
cea-08,legato,intact,0,0.088,0.056,1,13.052486430633321,0.000446458
cea-08,legato,intact,0,0.108,0.076,1,23.700335499094653,0.000285542
cea-08,legato,intact,0,0.092,0.06,1,13.984638213341718,0.00063125
cea-08,legato,intact,0,0.076,0.044,1,7.683286142258718,0.000276125
cea-08,legato,intact,1,0.104,0.072,1,22.40166198210108,0.00061775
cea-08,legato,intact,1,0.096,0.064,1,14.916920449503047,0.000273333
cea-08,legato,intact,1,0.084,0.052,1,9.080133452504924,0.000726
cea-08,legato,intact,1,0.088,0.056,1,13.052782778414986,0.000241125
cea-08,legato,intact,1,0.108,0.076,1,23.658378141466283,0.000164833
cea-08,legato,intact,1,0.096,0.064,1,15.804681591319499,0.000474084
cea-08,legato,intact,1,0.084,0.052,1,9.080130111694412,0.000264666
cea-08,legato,intact,1,0.076,0.044,1,5.754949140132207,0.000565584
cea-08,legato,intact,1,0.108,0.076,1,23.700335499094653,0.000291667
cea-08,legato,intact,1,0.092,0.06,1,13.984638213341718,0.000649292
cea-08,legato,intact,1,0.076,0.044,1,7.683286142258718,0.000293792
cea-08,duration,intact,0,0.104,0.072,1,22.401644202288253,0.000620958
cea-08,duration,intact,0,0.1,0.068,1,15.849417684063747,0.000245333
cea-08,duration,intact,0,0.088,0.056,1,9.778902520712585,0.000607333
cea-08,duration,intact,0,0.076,0.044,1,5.755773010946433,0.000274042
cea-08,duration,intact,0,0.108,0.076,1,23.64557596750271,0.00080925
cea-08,duration,intact,0,0.1,0.068,1,16.79223954154236,0.000415791
cea-08,duration,intact,0,0.088,0.056,1,9.76921791405965,0.000155792
cea-08,duration,intact,0,0.084,0.052,1,12.120237926965798,0.00036725
cea-08,duration,intact,0,0.108,0.076,1,23.64581331790705,0.000208292
cea-08,duration,intact,0,0.108,0.076,1,17.71420696940641,0.000411333
cea-08,duration,intact,0,0.072,0.04,1,6.984696954571742,0.000753833
cea-08,duration,intact,1,0.104,0.072,1,22.401644202288253,0.000627584
cea-08,duration,intact,1,0.1,0.068,1,15.849417684063747,0.000244375
cea-08,duration,intact,1,0.088,0.056,1,9.778902520712585,0.000635958
cea-08,duration,intact,1,0.084,0.052,1,12.120186101546713,0.0001925
cea-08,duration,intact,1,0.108,0.076,1,23.64557596750271,0.000791459
cea-08,duration,intact,1,0.1,0.068,1,16.79223954154236,0.000414792
cea-08,duration,intact,1,0.088,0.056,1,9.769947658743906,0.0001475
cea-08,duration,intact,1,0.072,0.04,1,5.232091246158316,0.000494958
cea-08,duration,intact,1,0.108,0.076,1,23.64581331790705,0.00021275
cea-08,duration,intact,1,0.108,0.076,1,17.71420696940641,0.000412208
cea-08,duration,intact,1,0.072,0.04,1,6.984696954571742,0.000742916
cea-08,joint,intact,0,0.104,0.072,1,22.401644202288253,0.0006185
cea-08,joint,intact,0,0.1,0.068,1,15.849417684063747,0.0002455
cea-08,joint,intact,0,0.088,0.056,1,9.778902520712585,0.000603459
cea-08,joint,intact,0,0.076,0.044,1,5.755773010946433,0.000277292
cea-08,joint,intact,0,0.108,0.076,1,23.64557596750271,0.000813583
cea-08,joint,intact,0,0.1,0.068,1,16.79223954154236,0.0004105
cea-08,joint,intact,0,0.088,0.056,1,9.76921791405965,0.000152917
cea-08,joint,intact,0,0.084,0.052,1,12.120237926965798,0.00036825
cea-08,joint,intact,0,0.108,0.076,1,23.64592654624976,0.000216875
cea-08,joint,intact,0,0.108,0.076,1,17.71397066930423,0.000409292
cea-08,joint,intact,0,0.072,0.04,1,6.984619475788559,0.00075025
cea-08,joint,intact,1,0.104,0.072,1,22.401644202288253,0.000616292
cea-08,joint,intact,1,0.1,0.068,1,15.849417684063747,0.000251458
cea-08,joint,intact,1,0.088,0.056,1,9.778902520712585,0.000637084
cea-08,joint,intact,1,0.084,0.052,1,12.120186101546713,0.000194
cea-08,joint,intact,1,0.108,0.076,1,23.64557596750271,0.000806458
cea-08,joint,intact,1,0.1,0.068,1,16.79223954154236,0.000415417
cea-08,joint,intact,1,0.088,0.056,1,9.769947658743906,0.0001525
cea-08,joint,intact,1,0.072,0.04,1,5.232091246158316,0.000494083
cea-08,joint,intact,1,0.108,0.076,1,23.64592654624976,0.000208417
cea-08,joint,intact,1,0.108,0.076,1,17.71397066930423,0.000413291
cea-08,joint,intact,1,0.072,0.04,1,6.984619475788559,0.000754083
cea-08,joint,reset,0,0.108,0.076,1,23.64592654624976,0.0002125
cea-08,joint,reset,0,0.108,0.076,1,17.71397066930423,0.000408958
cea-08,joint,reset,0,0.072,0.04,1,6.984619475788559,0.000746125
cea-08,joint,reset,1,0.108,0.076,1,23.64592654624976,0.000208708
cea-08,joint,reset,1,0.108,0.076,1,17.71397066930423,0.0004175
cea-08,joint,reset,1,0.072,0.04,1,6.984619475788559,0.000771583
cea-08,joint,removal,0,0.104,0.072,1,22.401644202288253,0.000621583
cea-08,joint,removal,0,0.1,0.068,1,15.849417684063747,0.000246584
cea-08,joint,removal,0,0.068,0.036,1,6.2868087222002,0.000624458
cea-08,joint,removal,0,0.108,0.076,1,23.64557596750271,0.000805292
cea-08,joint,removal,0,0.1,0.068,1,16.79223954154236,0.000415375
cea-08,joint,removal,0,0.068,0.036,1,6.2854318289060735,0.000801958
cea-08,joint,removal,0,0.108,0.076,1,23.64592654624976,0.000209542
cea-08,joint,removal,0,0.108,0.076,1,17.71397066930423,0.000412167
cea-08,joint,removal,0,0.072,0.04,1,6.984619475788559,0.000766916
cea-08,joint,removal,1,0.104,0.072,1,22.401644202288253,0.0006115
cea-08,joint,removal,1,0.1,0.068,1,15.849417684063747,0.000246584
cea-08,joint,removal,1,0.068,0.036,1,6.2868087222002,0.000624459
cea-08,joint,removal,1,0.108,0.076,1,23.64557596750271,0.000952833
cea-08,joint,removal,1,0.1,0.068,1,16.79223954154236,0.000411292
cea-08,joint,removal,1,0.068,0.036,1,6.2854318289060735,0.000786417
cea-08,joint,removal,1,0.108,0.076,1,23.64592654624976,0.00021175
cea-08,joint,removal,1,0.108,0.076,1,17.71397066930423,0.000416291
cea-08,joint,removal,1,0.072,0.04,1,6.984619475788559,0.000748833
cea-08,joint,swap,0,0.104,0.072,1,22.401644202288253,0.000631167
cea-08,joint,swap,0,0.1,0.068,1,15.849417684063747,0.000246916
cea-08,joint,swap,0,0.088,0.056,1,9.778902520712585,0.000642333
cea-08,joint,swap,0,0.084,0.052,1,12.120186101546713,0.000200625
cea-08,joint,swap,0,0.108,0.076,1,23.64557596750271,0.000809167
cea-08,joint,swap,0,0.1,0.068,1,16.79223954154236,0.000410375
cea-08,joint,swap,0,0.088,0.056,1,9.769947658743906,0.000150875
cea-08,joint,swap,0,0.072,0.04,1,5.232091246158316,0.0004845
cea-08,joint,swap,0,0.108,0.076,1,23.64592654624976,0.000212583
cea-08,joint,swap,0,0.108,0.076,1,17.71397066930423,0.00041725
cea-08,joint,swap,0,0.072,0.04,1,6.984619475788559,0.00076975
cea-08,joint,swap,1,0.104,0.072,1,22.401644202288253,0.000632125
