model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
map/absolute,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/present,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-08,detached,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
map/reference,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/transition1,cea-08,detached,intact,0,0.0,0.7595959008109068,0.5653348699563996,0.7018197245178338,1.9999999999999998e-05,0.5311845511769613
map/transition2,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/transition3,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
mixture/absolute,cea-08,detached,intact,0,1.0,0.1868088419869394,0.05779971486254376,0.46467450201835603,0.16960049417294196,0.8296023063574745
mixture/present,cea-08,detached,intact,0,1.0,1.1676047295232543,0.6216357915171646,1.5057174614583444,0.16960049417294196,0.3111112450854798
mixture/recency,cea-08,detached,intact,0,0.0,7.0935836404551145,1.6510800224756768,0.7707322561740624,0.1704143019648083,0.7897257245560233
mixture/reference,cea-08,detached,intact,0,1.0,0.1868088419869394,0.05779971486254376,0.46467450201835603,0.16960049417294196,0.8296023063574745
mixture/transition1,cea-08,detached,intact,0,0.0,0.9454242622838844,0.5972515329227259,1.037858281715976,0.16960049417294196,0.44110421088453394
mixture/transition2,cea-08,detached,intact,0,1.0,0.1868088419869394,0.05779971486254376,0.46467450201835603,0.16960049417294196,0.8296023063574745
mixture/transition3,cea-08,detached,intact,0,1.0,0.1868088419869394,0.05779971486254376,0.46467450201835603,0.16960049417294196,0.8296023063574745
repaired/absolute,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/present,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-08,detached,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition1,cea-08,detached,intact,0,0.0,0.7592836755770812,0.5650242098313849,0.7018382289136992,2e-05,0.5310384520933326
repaired/transition2,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition3,cea-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
streaming/absolute,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-08,detached,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
streaming/reference,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition1,cea-08,detached,intact,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
streaming/transition2,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-08,detached,intact,0,1.0,1.0293194621721604,0.5694812499999999,1.5615080942797084,0.001,0.35724999999999996
fixed/reference,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition2,cea-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
