model,cell,condition,bin,count,mean_confidence,accuracy
fixed/absolute,detached,intact,3,43,0.37464499999999995,0.16279069767441862
fixed/absolute,detached,intact,9,5,0.9990199999999998,1.0
fixed/absolute,duration,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/absolute,joint,ambiguous,3,48,0.37464499999999995,0.20833333333333334
fixed/absolute,joint,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/absolute,joint,removal,3,48,0.37464499999999995,0.20833333333333334
fixed/absolute,joint,reset,3,48,0.37464499999999995,0.20833333333333334
fixed/absolute,joint,shuffle,3,48,0.37464499999999995,0.20833333333333334
fixed/absolute,joint,swap,3,48,0.37464499999999995,0.20833333333333334
fixed/absolute,legato,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/present,detached,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/present,duration,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/present,joint,ambiguous,3,48,0.37464499999999995,0.20833333333333334
fixed/present,joint,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/present,joint,removal,3,48,0.37464499999999995,0.20833333333333334
fixed/present,joint,reset,3,48,0.37464499999999995,0.20833333333333334
fixed/present,joint,shuffle,3,48,0.37464499999999995,0.20833333333333334
fixed/present,joint,swap,3,48,0.37464499999999995,0.20833333333333334
fixed/present,legato,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/recency,detached,intact,3,4,0.35724999999999996,0.25
fixed/recency,detached,intact,9,44,0.9506310064520498,0.29545454545454547
fixed/recency,duration,intact,3,21,0.3572499999999999,0.19047619047619047
fixed/recency,duration,intact,9,27,0.951,0.07407407407407407
fixed/recency,joint,ambiguous,3,18,0.3572499999999999,0.2222222222222222
fixed/recency,joint,ambiguous,9,30,0.9510000000000001,0.1
fixed/recency,joint,intact,3,20,0.3572499999999999,0.2
fixed/recency,joint,intact,9,28,0.951,0.10714285714285714
fixed/recency,joint,removal,3,24,0.3572499999999999,0.16666666666666666
