group,cell,condition,variant,window_count,valid_count,candidate_count,cluster_count,concentration,disagreement,unknown_mass,available
cea-16,detached,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,12,11,1,1,0.9153466166283383,0.08465338337166173,0.08465338337166173,1
cea-16,detached,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,8,8,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-16,detached,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-16,legato,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-16,legato,intact,0,14,13,1,1,0.9278980120463641,0.07210198795363587,0.07210198795363587,1
cea-16,legato,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-16,legato,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-16,legato,intact,0,14,12,1,1,0.8569632559678763,0.14303674403212374,0.14303674403212374,1
cea-16,legato,intact,0,12,10,1,1,0.833271746800023,0.16672825319997697,0.16672825319997697,1
cea-16,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-16,legato,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-16,legato,intact,0,12,12,1,1,1.0,0.0,0.0,1
