model,cell,repaired_minus_oracle,lower_familywise95,upper_familywise95
present,detached,-0.041666666666666664,-0.125,0.0
present,legato,-0.125,-0.25,-0.020833333333333332
present,duration,-0.0625,-0.16666666666666666,0.0
present,joint,-0.08333333333333333,-0.1875,0.0
recency,detached,-0.041666666666666664,-0.16666666666666666,0.0
recency,legato,-0.08333333333333333,-0.25,0.0
recency,duration,-0.14583333333333334,-0.3333333333333333,0.0
recency,joint,-0.08333333333333333,-0.25,0.0
transition1,detached,-0.020833333333333332,-0.25,0.22916666666666666
transition1,legato,-0.020833333333333332,-0.25,0.20833333333333334
transition1,duration,-0.20833333333333334,-0.375,-0.020833333333333332
transition1,joint,-0.0625,-0.2916666666666667,0.16666666666666666
transition2,detached,-0.125,-0.2916666666666667,0.0
transition2,legato,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
transition2,duration,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
transition2,joint,-0.16666666666666666,-0.375,0.0
transition3,detached,-0.125,-0.2916666666666667,0.0
transition3,legato,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
transition3,duration,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
transition3,joint,-0.16666666666666666,-0.375,0.0
absolute,detached,-0.125,-0.2916666666666667,0.0
absolute,legato,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
absolute,duration,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
absolute,joint,-0.16666666666666666,-0.375,0.0
reference,detached,-0.125,-0.2916666666666667,0.0
reference,legato,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
reference,duration,-0.22916666666666666,-0.4583333333333333,-0.041666666666666664
reference,joint,-0.16666666666666666,-0.375,0.0
