front,group,precision,recall,f1,split_rate,merge_rate,pitch_accuracy,pitch_availability,octave_error_rate,mean_pitch_error_available,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
map,cea-16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0018737812322422468,0.008099817620650953,0.008819374298540968,0.1010625,0.104
map,cea-17,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0034071592949396767,0.006348625140291807,0.008386433782267114,0.11725,0.104
map,cea-18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0039009902528998825,0.010200687429854095,0.009730008417508417,0.1096875,0.104
map,cea-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.003882769696100504,0.0072241863075196405,0.00875448933782267,0.11425,0.104
map,cea-20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.004176494908650585,0.006698162177328844,0.007335157126823795,0.11275,0.104
map,cea-21,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0016701722547063642,0.007412598204264871,0.009300996071829406,0.11125,0.104
map,cea-22,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.004106043919172316,0.010521604938271608,0.01012605218855219,0.10975,0.104
map,cea-23,0.9077635327635326,1.0,0.950684380032206,0.0,0.0,1.0,1.0,0.0,0.0069321128023231045,0.010405162738496072,0.01117536475869809,0.115875,0.104
map,cea-24,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.00425600195697225,0.009182309203142537,0.009947109988776657,0.1051875,0.104
map,cea-25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0014744309176167472,0.007295735129068462,0.009245370370370369,0.112875,0.104
map,cea-26,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8540965207631874,0.8540965207631874,0.0,0.0040752966209436515,0.008618837181337182,0.008801216530383196,0.111375,0.104
map,cea-27,0.9333333333333333,1.0,0.9651665395372488,0.0,0.0,1.0,1.0,0.0,0.004411332036815498,0.009370089786756453,0.010200897867564535,0.119375,0.104
map,cea-28,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.002342569315151274,0.009427539281705949,0.010653198653198656,0.1021875,0.104
map,cea-29,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.002242812607654947,0.007613776655443323,0.009974046015712683,0.11525,0.104
map,cea-30,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8692480359147026,0.8692480359147026,0.0,0.0032306221893130243,0.00885300474987975,0.009440301827801827,0.1575,0.104
map,cea-31,0.9148989898989899,0.8540965207631874,0.8829895594601477,0.0,0.07295173961840629,0.8641975308641976,0.8641975308641976,0.0,0.005558083445417023,0.00914549112153279,0.010511070526695528,0.111125,0.1
map,cea-32,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.004909382979847422,0.008681327160493826,0.009381523569023569,0.102375,0.104
map,cea-33,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8591470258136925,0.8591470258136925,0.0,0.0015139112287890033,0.005790658068783069,0.007979020362353696,0.107,0.1
map,cea-34,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.005549962860795809,0.008444234006734006,0.008544262065095398,0.1049375,0.1
map,cea-35,0.8199633699633699,1.0,0.899872614460715,0.0,0.0,1.0,1.0,0.0,0.0046996334159200275,0.009755190796857466,0.008729797979797982,0.102875,0.092
map,cea-36,0.9611111111111111,1.0,0.9796592931604374,0.0,0.0,1.0,1.0,0.0,0.0025879753172940506,0.007597011784511786,0.007476501122334455,0.1008125,0.1
map,cea-37,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0035137228193097897,0.008961980920314253,0.010785072951739619,0.09875,0.092
map,cea-38,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0031644022280299276,0.009072320426487094,0.009144570707070705,0.0966875,0.096
map,cea-39,0.9814814814814814,1.0,0.9903381642512077,0.0,0.0,1.0,1.0,0.0,0.003714374456273301,0.009724887766554433,0.008552048260381594,0.117625,0.104
mixture,cea-16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0018737812322422468,0.008099817620650953,0.008819374298540968,0.1010625,0.104
mixture,cea-17,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0034071592949396767,0.006348625140291807,0.008386433782267114,0.11725,0.104
mixture,cea-18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0039009902528998825,0.010200687429854095,0.009730008417508417,0.1096875,0.104
mixture,cea-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.003882769696100504,0.0072241863075196405,0.00875448933782267,0.11425,0.104
mixture,cea-20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.004176494908650585,0.006698162177328844,0.007335157126823795,0.11275,0.104
mixture,cea-21,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0016701722547063642,0.007412598204264871,0.009300996071829406,0.11125,0.104
mixture,cea-22,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.004106043919172316,0.010521604938271608,0.01012605218855219,0.10975,0.104
mixture,cea-23,0.9077635327635326,1.0,0.950684380032206,0.0,0.0,1.0,1.0,0.0,0.0069321128023231045,0.010405162738496072,0.01117536475869809,0.115875,0.104
mixture,cea-24,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.00425600195697225,0.009182309203142537,0.009947109988776657,0.1051875,0.104
mixture,cea-25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0014744309176167472,0.007295735129068462,0.009245370370370369,0.112875,0.104
mixture,cea-26,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8540965207631874,0.8540965207631874,0.0,0.0040752966209436515,0.008618837181337182,0.008801216530383196,0.111375,0.104
mixture,cea-27,0.9333333333333333,1.0,0.9651665395372488,0.0,0.0,1.0,1.0,0.0,0.004411332036815498,0.009370089786756453,0.010200897867564535,0.119375,0.104
mixture,cea-28,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.002342569315151274,0.009427539281705949,0.010653198653198656,0.1021875,0.104
mixture,cea-29,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.002242812607654947,0.007613776655443323,0.009974046015712683,0.11525,0.104
mixture,cea-30,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8692480359147026,0.8692480359147026,0.0,0.0032306221893130243,0.00885300474987975,0.009440301827801827,0.1575,0.104
mixture,cea-31,0.9148989898989899,0.8540965207631874,0.8829895594601477,0.0,0.07295173961840629,0.8641975308641976,0.8641975308641976,0.0,0.005558083445417023,0.00914549112153279,0.010511070526695528,0.111125,0.1
mixture,cea-32,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.004909382979847422,0.008681327160493826,0.009381523569023569,0.102375,0.104
mixture,cea-33,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8591470258136925,0.8591470258136925,0.0,0.0015139112287890033,0.005790658068783069,0.007979020362353696,0.107,0.1
mixture,cea-34,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.005549962860795809,0.008444234006734006,0.008544262065095398,0.1049375,0.1
mixture,cea-35,0.8199633699633699,1.0,0.899872614460715,0.0,0.0,1.0,1.0,0.0,0.0046996334159200275,0.009755190796857466,0.008729797979797982,0.102875,0.092
mixture,cea-36,0.9611111111111111,1.0,0.9796592931604374,0.0,0.0,1.0,1.0,0.0,0.0025879753172940506,0.007597011784511786,0.007476501122334455,0.1008125,0.1
mixture,cea-37,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0035137228193097897,0.008961980920314253,0.010785072951739619,0.09875,0.092
mixture,cea-38,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0031644022280299276,0.009072320426487094,0.009144570707070705,0.0966875,0.096
mixture,cea-39,0.9814814814814814,1.0,0.9903381642512077,0.0,0.0,1.0,1.0,0.0,0.003714374456273301,0.009724887766554433,0.008552048260381594,0.117625,0.104
repaired,cea-16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0012248047987050356,0.008099817620650953,0.008819374298540968,0.1010625,0.104
repaired,cea-17,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.00032406412465476084,0.006348625140291807,0.008386433782267114,0.11725,0.104
repaired,cea-18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0005997902682865597,0.010200687429854095,0.009730008417508417,0.1096875,0.104
repaired,cea-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.00215945953653674,0.0072241863075196405,0.00875448933782267,0.11425,0.104
repaired,cea-20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0010841901546774701,0.006698162177328844,0.007335157126823795,0.11275,0.104
repaired,cea-21,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0004912074341224989,0.007412598204264871,0.009300996071829406,0.11125,0.104
