front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
map,cea-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0019351538088904405,0.0,0.007443181818181818,0.00952840909090909,0.0786875,0.068
mixture,cea-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0019351538088904405,0.0,0.007443181818181818,0.00952840909090909,0.0786875,0.068
repaired,cea-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005885980546979189,0.0,0.007443181818181818,0.00952840909090909,0.0786875,0.068
streaming,cea-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.07029911862941235,0.0,0.007443181818181818,0.00952840909090909,0.0786875,0.068
fixed,cea-16,detached,intact,0,11,11,9,2,0.18181818181818182,0.18181818181818182,0.18181818181818182,1,0,0.09090909090909091,0.0,0.8181818181818182,0.8181818181818182,0.009043394831839519,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,cea-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.013262017381791199,0.0,0.0,0.0,0.062375,0.062375
map,cea-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0019378645440467205,0.0,0.007079545454545455,0.009528409090909089,0.0786875,0.076
mixture,cea-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0019378645440467205,0.0,0.007079545454545455,0.009528409090909089,0.0786875,0.076
repaired,cea-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00586335048616401,0.0,0.007079545454545455,0.009528409090909089,0.0786875,0.076
streaming,cea-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.05728752380150295,0.0,0.007079545454545455,0.009528409090909089,0.0786875,0.076
fixed,cea-16,detached,intact,1,11,11,9,2,0.18181818181818182,0.18181818181818182,0.18181818181818182,1,0,0.09090909090909091,0.0,0.8181818181818182,0.8181818181818182,0.008819019806141382,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,cea-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.013262017381791199,0.0,0.0,0.0,0.062375,0.062375
map,cea-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004913461417060786,0.0,0.008170454545454545,0.009232954545454546,0.1010625,0.104
mixture,cea-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004913461417060786,0.0,0.008170454545454545,0.009232954545454546,0.1010625,0.104
repaired,cea-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00026576763093183437,0.0,0.008170454545454545,0.009232954545454546,0.1010625,0.104
streaming,cea-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.7272727272727273,1.0,5.260238052727273,0.0,0.008170454545454545,0.009232954545454546,0.1010625,0.104
