model,group,cell,condition,accuracy,paired_success,log_loss,brier,entropy,unknown_mass,confidence
map/absolute,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/present,cea-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-16,detached,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
map/reference,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition1,cea-16,detached,intact,1.0,1.0,0.6783507177732114,0.4842598818569288,0.7037022283575477,1.9999999999999998e-05,0.5074532644681311
map/transition2,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition3,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
mixture/absolute,cea-16,detached,intact,1.0,1.0,0.04520671523997246,0.007244583055444953,0.15600122222369878,0.04234584515199715,0.9567347884720212
mixture/present,cea-16,detached,intact,0.0,0.0,10.864004519136294,1.29017457108817,1.3565789062024707,0.04234584515199715,0.35878751659336183
mixture/recency,cea-16,detached,intact,0.0,0.0,6.951981513708148,1.8328712183159623,0.5123732755435239,0.043284364994145036,0.9107473162067747
mixture/reference,cea-16,detached,intact,1.0,1.0,0.04520671523997246,0.007244583055444953,0.15600122222369878,0.04234584515199715,0.9567347884720212
mixture/transition1,cea-16,detached,intact,1.0,1.0,0.7225769524992223,0.490320693312849,0.818825199069947,0.04234584515199715,0.48598161862759887
mixture/transition2,cea-16,detached,intact,1.0,1.0,0.04520671523997246,0.007244583055444953,0.15600122222369878,0.04234584515199715,0.9567347884720212
mixture/transition3,cea-16,detached,intact,1.0,1.0,0.04520671523997246,0.007244583055444953,0.15600122222369878,0.04234584515199715,0.9567347884720212
repaired/absolute,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/present,cea-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-16,detached,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition1,cea-16,detached,intact,1.0,1.0,0.4727744846761125,0.2831276966181122,0.6728488186028057,1.9999999999999998e-05,0.6232706258495568
repaired/transition2,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition3,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
streaming/absolute,cea-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
