group,pitched_events,missing_measurements,availability,mean_support_duration_s,max_extra_processing_seconds
cea-16,178,0,1.0,0.06296629213483146,0.00092675
cea-17,178,0,1.0,0.06732584269662922,0.000952875
cea-18,178,0,1.0,0.06784269662921348,0.001017791
cea-19,178,0,1.0,0.0696629213483146,0.001065166
cea-20,178,0,1.0,0.0650561797752809,0.0008795
cea-21,178,0,1.0,0.0669438202247191,0.000968958
cea-22,178,0,1.0,0.06869662921348313,0.0009585
cea-23,199,32,0.8391959798994975,0.05875376884422111,0.002047709
cea-24,178,0,1.0,0.06426966292134832,0.000932417
cea-25,178,0,1.0,0.06912359550561797,0.000938
cea-26,164,0,1.0,0.07882926829268293,0.000959041
cea-27,192,14,0.9270833333333334,0.06412499999999999,0.001048167
cea-28,178,0,1.0,0.06471910112359551,0.000924
cea-29,178,0,1.0,0.06903370786516855,0.001008542
cea-30,164,0,1.0,0.07939024390243903,0.000952167
cea-31,165,1,0.9939393939393939,0.08014545454545455,0.001270917
cea-32,178,0,1.0,0.06649438202247192,0.000945666
cea-33,164,0,1.0,0.07843902439024389,0.000899583
cea-34,178,0,1.0,0.07141573033707865,0.000972167
cea-35,217,39,0.8202764976958525,0.05491244239631336,0.001334666
cea-36,186,8,0.956989247311828,0.06387096774193549,0.000907375
cea-37,178,0,1.0,0.06979775280898876,0.001016334
cea-38,178,0,1.0,0.07211235955056179,0.000904209
cea-39,182,4,0.978021978021978,0.06901098901098901,0.001223709
