group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
cea-16,detached,intact,0,0.104,0.072,1,22.395687529193058,0.000682375
cea-16,detached,intact,0,0.096,0.064,1,16.74410903388559,0.000320209
cea-16,detached,intact,0,0.096,0.064,1,11.839660818725713,0.000631333
cea-16,detached,intact,0,0.072,0.04,1,6.222508516765163,0.000323375
cea-16,detached,intact,0,0.1,0.068,1,21.144156478309668,0.000165583
cea-16,detached,intact,0,0.1,0.068,1,14.945824459246356,0.000439542
cea-16,detached,intact,0,0.092,0.06,1,11.083489785163133,0.000167667
cea-16,detached,intact,0,0.08,0.048,1,10.559873864406978,0.000407583
cea-16,detached,intact,0,0.1,0.068,1,21.156769765974875,0.000251792
cea-16,detached,intact,0,0.1,0.068,1,17.782716282374402,0.000533583
cea-16,detached,intact,0,0.072,0.04,1,7.3998600417379,0.000193042
cea-16,detached,intact,1,0.104,0.072,1,22.395687529193058,0.00068475
cea-16,detached,intact,1,0.096,0.064,1,16.74410903388559,0.0003205
cea-16,detached,intact,1,0.092,0.06,1,11.099862700013418,0.000684625
cea-16,detached,intact,1,0.08,0.048,1,10.560129330146337,0.000281
cea-16,detached,intact,1,0.1,0.068,1,21.144156478309668,0.000166333
cea-16,detached,intact,1,0.1,0.068,1,14.945824459246356,0.000443792
cea-16,detached,intact,1,0.092,0.06,1,11.083489785163133,0.000151333
cea-16,detached,intact,1,0.072,0.04,1,6.222547112020658,0.000492166
cea-16,detached,intact,1,0.1,0.068,1,21.156769765974875,0.000249792
cea-16,detached,intact,1,0.1,0.068,1,17.782716282374402,0.000522833
cea-16,detached,intact,1,0.072,0.04,1,7.3998600417379,0.0001915
cea-16,legato,intact,0,0.096,0.064,1,19.91257173362755,0.000705417
cea-16,legato,intact,0,0.108,0.076,1,19.883781094101497,0.000248792
cea-16,legato,intact,0,0.084,0.052,1,9.620017708137276,0.000669167
cea-16,legato,intact,0,0.08,0.048,1,7.4670638951968105,0.000276791
cea-16,legato,intact,0,0.104,0.072,1,22.40105821495459,0.000781459
cea-16,legato,intact,0,0.1,0.068,1,14.959846236634572,0.000406584
cea-16,legato,intact,0,0.092,0.06,1,11.099600158896239,0.000750083
cea-16,legato,intact,0,0.084,0.052,1,11.44010417157592,0.000324834
cea-16,legato,intact,0,0.096,0.064,1,19.91247269784815,0.000282542
cea-16,legato,intact,0,0.108,0.076,1,19.8833930783702,0.000482959
cea-16,legato,intact,0,0.076,0.044,1,8.140255365276921,0.00092675
cea-16,legato,intact,1,0.096,0.064,1,19.91257173362755,0.000712583
cea-16,legato,intact,1,0.108,0.076,1,19.883781094101497,0.000247792
cea-16,legato,intact,1,0.092,0.06,1,11.100041837369039,0.000598875
cea-16,legato,intact,1,0.084,0.052,1,11.439763931013122,0.000151
cea-16,legato,intact,1,0.104,0.072,1,22.40105821495459,0.00076825
cea-16,legato,intact,1,0.1,0.068,1,14.959846236634572,0.000399375
cea-16,legato,intact,1,0.084,0.052,1,9.619624121726677,0.000188709
cea-16,legato,intact,1,0.084,0.052,1,8.089432610826911,0.000405041
cea-16,legato,intact,1,0.096,0.064,1,19.91247269784815,0.000280666
cea-16,legato,intact,1,0.108,0.076,1,19.8833930783702,0.000484125
cea-16,legato,intact,1,0.076,0.044,1,8.140255365276921,0.000791875
cea-16,duration,intact,0,0.096,0.064,1,19.91255494969883,0.000706834
cea-16,duration,intact,0,0.112,0.08,1,20.930615612184535,0.000207625
cea-16,duration,intact,0,0.088,0.056,1,10.360521242043397,0.000584208
cea-16,duration,intact,0,0.08,0.048,1,7.467014871356489,0.000191625
cea-16,duration,intact,0,0.108,0.076,1,23.645640190846837,0.00069675
cea-16,duration,intact,0,0.088,0.056,1,12.319690666580817,0.00043525
cea-16,duration,intact,0,0.1,0.068,1,12.579970347590221,0.000732334
cea-16,duration,intact,0,0.084,0.052,1,11.439865389675234,0.000281667
cea-16,duration,intact,0,0.116,0.084,1,26.18124161046341,0.000678834
cea-16,duration,intact,0,0.108,0.076,1,19.883940040557608,0.000211417
cea-16,duration,intact,0,0.072,0.04,1,7.399739829355008,0.000542041
cea-16,duration,intact,1,0.096,0.064,1,19.91255494969883,0.000708375
cea-16,duration,intact,1,0.112,0.08,1,20.930615612184535,0.000212125
cea-16,duration,intact,1,0.088,0.056,1,10.360521242043397,0.000635084
cea-16,duration,intact,1,0.084,0.052,1,11.439847588751384,0.000156042
cea-16,duration,intact,1,0.108,0.076,1,23.645640190846837,0.0006905
cea-16,duration,intact,1,0.088,0.056,1,12.319690666580817,0.000438334
cea-16,duration,intact,1,0.1,0.068,1,12.579970347590221,0.00071425
cea-16,duration,intact,1,0.08,0.048,1,7.466955374046262,0.000318958
cea-16,duration,intact,1,0.116,0.084,1,26.18124161046341,0.000683292
cea-16,duration,intact,1,0.108,0.076,1,19.883940040557608,0.000209875
cea-16,duration,intact,1,0.072,0.04,1,7.399739829355008,0.000554
cea-16,joint,intact,0,0.096,0.064,1,19.91255494969883,0.000701708
cea-16,joint,intact,0,0.112,0.08,1,20.930615612184535,0.000209208
cea-16,joint,intact,0,0.088,0.056,1,10.360521242043397,0.00060875
