model,cell,condition,bin,count,confidence,accuracy
a32_48/absolute,stretch,intact,3,10,0.374645,0.0
a32_48/absolute,stretch,intact,9,38,0.9990200000000001,1.0
a32_48/absolute,timbre,intact,3,10,0.374645,0.0
a32_48/absolute,timbre,intact,9,38,0.9990200000000001,1.0
a32_48/absolute,transpose,intact,3,48,0.37464499999999995,0.08333333333333333
a32_48/absolute,unchanged,ambiguous,3,8,0.37464499999999995,0.0
a32_48/absolute,unchanged,ambiguous,4,4,0.49961511394987407,0.5
a32_48/absolute,unchanged,ambiguous,5,28,0.5216419366824514,0.5
a32_48/absolute,unchanged,ambiguous,6,4,0.6469078077662396,0.5
a32_48/absolute,unchanged,ambiguous,9,4,0.99902,0.5
a32_48/absolute,unchanged,intact,3,10,0.374645,0.0
a32_48/absolute,unchanged,intact,9,38,0.9990200000000001,1.0
a32_48/absolute,unchanged,removal,3,48,0.37464499999999995,0.0625
a32_48/absolute,unchanged,reset,3,48,0.37464499999999995,0.0625
a32_48/absolute,unchanged,shuffle,3,10,0.374645,0.0
a32_48/absolute,unchanged,shuffle,9,38,0.9990200000000001,1.0
a32_48/absolute,unchanged,swap,3,10,0.374645,0.0
a32_48/absolute,unchanged,swap,9,38,0.9990200000000001,1.0
a32_48/absolute,unchanged,unrelated,3,48,0.37464499999999995,0.08333333333333333
a32_48/present,stretch,intact,3,48,0.37464499999999995,0.0625
a32_48/present,timbre,intact,3,48,0.37464499999999995,0.0625
a32_48/present,transpose,intact,3,48,0.37464499999999995,0.08333333333333333
a32_48/present,unchanged,ambiguous,3,48,0.37464499999999995,0.0625
a32_48/present,unchanged,intact,3,48,0.37464499999999995,0.0625
a32_48/present,unchanged,removal,3,48,0.37464499999999995,0.0625
a32_48/present,unchanged,reset,3,48,0.37464499999999995,0.0625
a32_48/present,unchanged,shuffle,3,48,0.37464499999999995,0.0625
a32_48/present,unchanged,swap,3,48,0.37464499999999995,0.0625
a32_48/present,unchanged,unrelated,3,48,0.37464499999999995,0.08333333333333333
a32_48/recency,stretch,intact,3,3,0.3572499999999999,0.0
a32_48/recency,stretch,intact,9,45,0.9510000000000001,0.4
a32_48/recency,timbre,intact,3,3,0.3572499999999999,0.0
a32_48/recency,timbre,intact,9,45,0.9510000000000001,0.4
a32_48/recency,transpose,intact,3,34,0.35725,0.11764705882352941
a32_48/recency,transpose,intact,9,14,0.9510000000000002,0.07142857142857142
a32_48/recency,unchanged,ambiguous,3,4,0.35724999999999996,0.0
a32_48/recency,unchanged,ambiguous,9,44,0.9510000000000001,0.4318181818181818
a32_48/recency,unchanged,intact,3,3,0.3572499999999999,0.0
a32_48/recency,unchanged,intact,9,45,0.9510000000000001,0.4
a32_48/recency,unchanged,removal,3,40,0.35724999999999996,0.075
