model,group,cell,condition,accuracy,log_loss,brier,entropy,unknown_mass,confidence,paired_success
a32_48/absolute,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48/present,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/recency,sp-16,unchanged,intact,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
a32_48/reference,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48/transition1,sp-16,unchanged,intact,0.0,0.8877370538316647,0.6903920688130802,0.6864527680005322,1.9999999999999998e-05,0.5861097021441021,0.0
a32_48/transition2,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48/transition3,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48_mixture/absolute,sp-16,unchanged,intact,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/present,sp-16,unchanged,intact,0.0,3.1432300693643693,1.379247297260981,1.0816710499822757,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/recency,sp-16,unchanged,intact,0.0,6.214727477663419,1.5223557946995545,0.7975457052885849,0.654568125750797,0.654568125750797,0.0
a32_48_mixture/reference,sp-16,unchanged,intact,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/transition1,sp-16,unchanged,intact,0.0,1.9771981655336228,1.2128414524767255,0.8784325049760804,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/transition2,sp-16,unchanged,intact,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/transition3,sp-16,unchanged,intact,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
b2/absolute,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/present,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/recency,sp-16,unchanged,intact,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
b2/reference,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/transition1,sp-16,unchanged,intact,0.0,6.450030089543906,1.53006313625,0.6384029638356644,1.9999999999999998e-05,0.6868324999999998,0.0
b2/transition2,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/transition3,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
f32/absolute,sp-16,unchanged,intact,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902,1.0
f32/present,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
f32/recency,sp-16,unchanged,intact,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
f32/reference,sp-16,unchanged,intact,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902,1.0
f32/single,sp-16,unchanged,intact,0.0,+Infinity,2.0,0.0,1.0,1.0,0.0
f32/transition1,sp-16,unchanged,intact,0.0,10.819778284410283,1.9656343140790817,0.08487513469518884,2e-05,0.9822579739834262,0.0
f32/transition2,sp-16,unchanged,intact,0.0,10.819778284410283,1.9596013937771508,0.09551735873925551,1.9999999999999998e-05,0.978998461331855,0.0
f32/transition3,sp-16,unchanged,intact,0.0,10.819778284410283,1.9528105512830864,0.107005311516579,2e-05,0.9752732197183085,0.0
fixed/absolute,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
fixed/present,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
fixed/recency,sp-16,unchanged,intact,0.0,4.515052160836625,1.4734656249999998,0.9738837498905897,0.001,0.654125,0.0
fixed/reference,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
fixed/transition1,sp-16,unchanged,intact,0.0,6.450030089543906,1.5300631362500001,0.6384029638356643,1.9999999999999998e-05,0.6868325,0.0
fixed/transition2,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
