model,group,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/absolute,sp-16,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-16,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-16,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-16,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-16,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-16,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-16,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-16,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-16,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-16,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-16,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-16,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-16,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-16,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-16,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-16,transpose,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-16,stretch,intact,0.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-16,stretch,intact,0.0,0.0,0.0,0.5,0.0,0.0,1.0
patch-multi/absolute,sp-16,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-16,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-17,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-17,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-17,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-17,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-17,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-17,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-17,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-17,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-17,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-17,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-17,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-17,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-17,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-17,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-17,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-17,transpose,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-17,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-17,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-17,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-17,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-18,unchanged,intact,0.0,0.0,0.0,1.0,1.0,1.0,1.0
