model,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/absolute,stretch,intact,0.7916666666666666,0.0,0.0,1.0,0.5625,0.5,1.0
patch-multi/absolute,timbre,intact,0.5416666666666666,0.0,0.3333333333333333,0.6666666666666666,0.4583333333333333,0.375,0.6666666666666666
patch-multi/absolute,transpose,intact,0.0,0.0,0.8958333333333334,0.0,0.041666666666666664,0.0,0.10416666666666667
patch-multi/absolute,unchanged,ambiguous,0.9166666666666666,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,unchanged,intact,0.8541666666666666,0.0,0.0,1.0,0.6458333333333334,1.0,1.0
patch-multi/absolute,unchanged,removal,0.9583333333333334,0.0,0.0,1.0,0.0,0.4583333333333333,1.0
patch-multi/absolute,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,unchanged,shuffle,0.8333333333333334,0.0,0.0,1.0,0.7916666666666666,0.9375,1.0
patch-multi/absolute,unchanged,swap,0.8541666666666666,0.0,0.0,1.0,0.6458333333333334,1.0,1.0
patch-multi/absolute,unchanged,unrelated,0.0,0.125,0.875,0.125,0.0,0.0,0.125
patch-multi/reference,stretch,intact,0.7916666666666666,0.0,0.0,0.9583333333333334,0.5625,0.5,1.0
patch-multi/reference,timbre,intact,0.5416666666666666,0.0,0.3333333333333333,0.6666666666666666,0.4583333333333333,0.375,0.6666666666666666
patch-multi/reference,transpose,intact,0.8333333333333334,0.0,0.0,1.0,0.6666666666666666,0.6875,1.0
patch-multi/reference,unchanged,ambiguous,0.9166666666666666,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,unchanged,intact,0.8541666666666666,0.0,0.0,1.0,0.6458333333333334,1.0,1.0
patch-multi/reference,unchanged,removal,0.9583333333333334,0.0,0.0,0.9583333333333334,0.0,0.4583333333333333,1.0
patch-multi/reference,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,unchanged,shuffle,0.8333333333333334,0.0,0.0,1.0,0.7916666666666666,0.9375,1.0
patch-multi/reference,unchanged,swap,0.8541666666666666,0.0,0.0,1.0,0.6458333333333334,1.0,1.0
patch-multi/reference,unchanged,unrelated,0.0,0.4375,0.5625,0.041666666666666664,0.10416666666666667,0.0,0.4375
