model,group,cell,condition,variant,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage,alignment_end_error,pitch_shift,time_ratio,spectral_residual,energy_residual
patch-multi/absolute,sp-16,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07867595362170587,0.13199231253788085
patch-multi/reference,sp-16,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07867595362170587,0.13199231253788085
patch-multi/absolute,sp-16,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07837990038666473,0.13179084187776283
patch-multi/reference,sp-16,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07837990038666473,0.13179084187776283
patch-multi/absolute,sp-16,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-16,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-16,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-16,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-16,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07866853776470173,0.12676633080334132
patch-multi/reference,sp-16,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07866853776470173,0.12676633080334132
patch-multi/absolute,sp-16,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07866853776470173,0.12676633080334132
patch-multi/reference,sp-16,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07866853776470173,0.12676633080334132
patch-multi/absolute,sp-16,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07837990038666473,0.13179084187776283
patch-multi/reference,sp-16,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07837990038666473,0.13179084187776283
patch-multi/absolute,sp-16,unchanged,swap,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07867595362170587,0.13199231253788085
patch-multi/reference,sp-16,unchanged,swap,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.07867595362170587,0.13199231253788085
patch-multi/absolute,sp-16,unchanged,shuffle,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.014309020713623031,0.11613628773518993
patch-multi/reference,sp-16,unchanged,shuffle,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.014309020713623031,0.11613628773518993
patch-multi/absolute,sp-16,unchanged,shuffle,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.024701365368737023,0.11648335533462272
patch-multi/reference,sp-16,unchanged,shuffle,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.024701365368737023,0.11648335533462272
patch-multi/absolute,sp-16,unchanged,ambiguous,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.024701365368737023,0.11648335533462272
patch-multi/reference,sp-16,unchanged,ambiguous,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.024701365368737023,0.11648335533462272
patch-multi/absolute,sp-16,unchanged,ambiguous,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.024701365368737023,0.11648335533462272
patch-multi/reference,sp-16,unchanged,ambiguous,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.049125,0.0,1.0,0.024701365368737023,0.11648335533462272
patch-multi/absolute,sp-16,unchanged,unrelated,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-16,unchanged,unrelated,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-16,unchanged,unrelated,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-16,unchanged,unrelated,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-16,transpose,intact,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-16,transpose,intact,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0069375,-5.0,1.3333333333333333,0.09111303947174772,0.1247805671427423
patch-multi/absolute,sp-16,transpose,intact,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-16,transpose,intact,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0069375,-5.0,1.3333333333333333,0.09080943596779836,0.12457909648262427
patch-multi/absolute,sp-16,stretch,intact,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.12854065787577762,0.17514025315248333
patch-multi/reference,sp-16,stretch,intact,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,1.3333333333333333,0.10332668267235093,0.09909857815834555
patch-multi/absolute,sp-16,stretch,intact,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.3333333333333333,0.12878397398828106,0.18784954870303738
patch-multi/reference,sp-16,stretch,intact,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.3333333333333333,0.12878397398828106,0.18784954870303738
patch-multi/absolute,sp-16,timbre,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.08318677237639585,0.13207345005952267
patch-multi/reference,sp-16,timbre,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.08318677237639585,0.13207345005952267
patch-multi/absolute,sp-16,timbre,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.08289100228513013,0.13187197939940465
patch-multi/reference,sp-16,timbre,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.08289100228513013,0.13187197939940465
patch-multi/absolute,sp-17,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06443074803613798,0.11610131260848443
patch-multi/reference,sp-17,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06443074803613798,0.11610131260848443
patch-multi/absolute,sp-17,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
patch-multi/reference,sp-17,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
patch-multi/absolute,sp-17,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-17,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-17,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/reference,sp-17,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/absolute,sp-17,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/reference,sp-17,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/absolute,sp-17,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
patch-multi/reference,sp-17,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
