model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
a32_48/absolute,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
a32_48/present,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/recency,sp-16,unchanged,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
a32_48/reference,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
a32_48/transition1,sp-16,unchanged,intact,0,0.0,0.9685346847852977,0.7685055831643868,0.674774972992979,1.9999999999999998e-05,0.6194010785805559
a32_48/transition2,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
a32_48/transition3,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
a32_48_mixture/absolute,sp-16,unchanged,intact,0,0.0,1.101684447753213,0.8542659489763158,0.7862421056641461,0.6388600561047675,0.6388600561047675
a32_48_mixture/present,sp-16,unchanged,intact,0,0.0,3.0987516340265606,1.3586134824089617,1.1109175963949067,0.6388600561047675,0.6388600561047675
a32_48_mixture/recency,sp-16,unchanged,intact,0,0.0,7.926225018331169,1.5258370377688428,0.7905099091662365,0.6392139803282693,0.6392139803282693
a32_48_mixture/reference,sp-16,unchanged,intact,0,0.0,1.101684447753213,0.8542659489763158,0.7862421056641461,0.6388600561047675,0.6388600561047675
a32_48_mixture/transition1,sp-16,unchanged,intact,0,0.0,2.0815552895663063,1.2299555407224378,0.8907122888740306,0.6388600561047675,0.6388600561047675
a32_48_mixture/transition2,sp-16,unchanged,intact,0,0.0,1.101684447753213,0.8542659489763158,0.7862421056641461,0.6388600561047675,0.6388600561047675
a32_48_mixture/transition3,sp-16,unchanged,intact,0,0.0,1.101684447753213,0.8542659489763158,0.7862421056641461,0.6388600561047675,0.6388600561047675
b2/absolute,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/present,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/recency,sp-16,unchanged,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
b2/reference,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition1,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition2,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition3,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
f32/absolute,sp-16,unchanged,intact,0,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
f32/present,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
f32/recency,sp-16,unchanged,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
f32/reference,sp-16,unchanged,intact,0,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
f32/single,sp-16,unchanged,intact,0,0.0,+Infinity,2.0,-0.0,1.0,1.0
f32/transition1,sp-16,unchanged,intact,0,0.0,10.819778284410283,1.9332676481581634,0.15816736702859788,2e-05,0.9654959479668523
f32/transition2,sp-16,unchanged,intact,0,0.0,10.819778284410283,1.9212018075543016,0.17945181511673122,1.9999999999999998e-05,0.95897692266371
f32/transition3,sp-16,unchanged,intact,0,0.0,10.819778284410283,1.9076201225661729,0.20242772067137818,2e-05,0.9515264394366169
fixed/absolute,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,sp-16,unchanged,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
fixed/reference,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,sp-16,unchanged,intact,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
fixed/transition2,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
trim16/absolute,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
trim16/present,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
trim16/recency,sp-16,unchanged,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
trim16/reference,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
trim16/transition1,sp-16,unchanged,intact,0,1.0,0.16866330210508965,0.04788118609010206,0.4411908595053013,1.9999999999999998e-05,0.8447932956304858
trim16/transition2,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
trim16/transition3,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
patch-multi/absolute,sp-16,unchanged,intact,0,1.0,0.02454130333124975,0.0011298036429454594,0.12187709997624459,2e-05,0.9757573860555562
patch-multi/present,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
patch-multi/recency,sp-16,unchanged,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
patch-multi/reference,sp-16,unchanged,intact,0,1.0,0.04101508266380594,0.0031535091168040097,0.17678248807153413,2e-05,0.9598146532768944
patch-multi/transition1,sp-16,unchanged,intact,0,0.0,10.819778284410283,1.9980009799999996,0.011582902361779928,2e-05,0.9990199999999999
patch-multi/transition2,sp-16,unchanged,intact,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
patch-multi/transition3,sp-16,unchanged,intact,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
oracle-boundary/absolute,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
oracle-boundary/present,sp-16,unchanged,intact,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,sp-16,unchanged,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
oracle-boundary/reference,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
oracle-boundary/transition1,sp-16,unchanged,intact,0,1.0,1.0993056551200797,0.6665024380504714,1.1086896817565328,2e-05,0.3331022912903337
oracle-boundary/transition2,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
oracle-boundary/transition3,sp-16,unchanged,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
a32_48/absolute,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
a32_48/present,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/recency,sp-16,unchanged,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
a32_48/reference,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
a32_48/transition1,sp-16,unchanged,intact,1,0.0,0.8069394228780318,0.6122785544617737,0.6981305630080855,2e-05,0.5528183257076482
a32_48/transition2,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
a32_48/transition3,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
a32_48_mixture/absolute,sp-16,unchanged,intact,1,0.0,1.1084070905386112,0.8971491102751401,0.638211606123605,0.6695984711991004,0.6695984711991004
a32_48_mixture/present,sp-16,unchanged,intact,1,0.0,3.1877085047021785,1.3998811121130004,1.0524245035696445,0.6695984711991004,0.6695984711991004
a32_48_mixture/recency,sp-16,unchanged,intact,1,0.0,4.503229936995669,1.5188745516302662,0.8045815014109333,0.6699222711733248,0.6699222711733248
a32_48_mixture/reference,sp-16,unchanged,intact,1,0.0,1.1084070905386112,0.8971491102751401,0.638211606123605,0.6695984711991004,0.6695984711991004
a32_48_mixture/transition1,sp-16,unchanged,intact,1,0.0,1.8728410415009396,1.1957273642310131,0.8661527210781301,0.6695984711991004,0.6695984711991004
a32_48_mixture/transition2,sp-16,unchanged,intact,1,0.0,1.1084070905386112,0.8971491102751401,0.638211606123605,0.6695984711991004,0.6695984711991004
