model,cell,streaming_minus_oracle,lower_familywise95,upper_familywise95
present,detached,0.0,0.0,0.0
present,legato,0.0,0.0,0.0
present,duration,0.0,0.0,0.0
present,joint,0.0,0.0,0.0
recency,detached,0.25,0.0,0.625
recency,legato,-0.25,-0.625,0.125
recency,duration,-0.25,-0.625,0.125
recency,joint,-0.1875,-0.625,0.375
transition1,detached,-0.125,-0.3125,0.0
transition1,legato,-0.3125,-0.5,-0.125
transition1,duration,-0.3125,-0.5,-0.125
transition1,joint,-0.3125,-0.5,-0.125
transition2,detached,-0.5,-0.75,-0.25
transition2,legato,-0.8125,-1.0,-0.625
transition2,duration,-0.8125,-1.0,-0.625
transition2,joint,-0.8125,-1.0,-0.625
transition3,detached,-0.5,-0.75,-0.25
transition3,legato,-0.8125,-1.0,-0.625
transition3,duration,-0.8125,-1.0,-0.625
transition3,joint,-0.8125,-1.0,-0.625
absolute,detached,-0.5,-0.75,-0.25
absolute,legato,-0.8125,-1.0,-0.625
absolute,duration,-0.8125,-1.0,-0.625
absolute,joint,-0.8125,-1.0,-0.625
reference,detached,-0.25,-0.4375,-0.0625
reference,legato,-0.75,-0.9375,-0.5625
reference,duration,-0.8125,-1.0,-0.625
reference,joint,-0.8125,-1.0,-0.625
