front,group,precision,recall,f1,split_rate,merge_rate,pitch_accuracy,pitch_availability,octave_error_rate,mean_pitch_error_available,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
streaming,civ-08,1.0,1.0,1.0,0.0,0.0,0.580246913580247,0.8159371492704826,0.0,5.710847459257859,0.009973554994388326,0.010701529180695847,0.10075,0.104
streaming,civ-09,1.0,1.0,1.0,0.0,0.0,0.5701459034792368,1.0,0.19304152637485966,6.968135395709864,0.007595258136924803,0.009613496071829404,0.1164375,0.104
streaming,civ-10,0.9518518518518518,1.0,0.9748283752860412,0.0,0.0,0.9343434343434343,1.0,0.0,0.10567833199301166,0.00711945847362514,0.00772523849607183,0.1156875,0.104
streaming,civ-11,0.9305555555555556,0.8742985409652078,0.9010270774976656,0.0,0.06285072951739618,0.8641975308641976,0.8742985409652078,0.0,0.05651024395636936,0.005430274971941639,0.006498617123617124,0.1149375,0.104
streaming,civ-12,0.9907407407407407,1.0,0.9951690821256037,0.0,0.0,0.6464646464646465,0.8411896745230079,0.0897867564534231,3.556222248607962,0.009527286756453424,0.01000455948372615,0.0955,0.096
streaming,civ-13,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.5780022446689113,0.8389450056116723,0.10549943883277217,2.451576906836614,0.007186678290844958,0.00935830527497194,0.1134375,0.104
streaming,civ-14,1.0,1.0,1.0,0.0,0.0,0.6139169472502807,1.0,0.1795735129068462,5.097439560585107,0.010490530303030305,0.010324705387205388,0.1126875,0.104
streaming,civ-15,0.9814814814814814,1.0,0.9903381642512077,0.0,0.0,0.7934904601571268,1.0,0.10325476992143659,2.887682611712345,0.008766835016835015,0.009115670594837262,0.12025,0.104
fixed,civ-08,0.18148148148148147,0.1515151515151515,0.16507936507936508,0.012345679012345678,0.0,0.6509539842873177,0.6936026936026937,0.04264870931537598,0.7299847354508628,0.018657614087301586,0.018429274140211643,0.010375,0.0
fixed,civ-09,0.11841931216931217,0.1515151515151515,0.13272712883823998,0.30920314253647585,0.08585858585858586,0.8136924803591471,0.8136924803591471,0.0,0.025182461407619282,0.016973875661375662,0.021254409171075836,0.008875,0.0
fixed,civ-10,0.09503968253968254,0.1313131313131313,0.11021209243431465,0.6515151515151515,0.2508417508417508,0.7037037037037037,0.7138047138047138,0.0,0.03132985058389623,0.016992766203703706,0.02054832175925926,0.007375,0.0
fixed,civ-11,0.08242556281771968,0.1313131313131313,0.10125889436234263,0.7732884399551065,0.28395061728395055,0.7138047138047138,0.7138047138047138,0.0,0.014876471604383212,0.016714120370370372,0.021670717592592592,0.005875,0.0
fixed,civ-12,0.14231200897867563,0.1313131313131313,0.1360739904218165,0.0606060606060606,0.020202020202020204,0.6711560044893378,0.6711560044893378,0.0,0.014682040431504518,0.01744469246031746,0.021698660714285715,0.011875,0.0
fixed,civ-13,0.10518925518925519,0.1313131313131313,0.11656385482472438,0.21829405162738494,0.04040404040404041,0.7239057239057238,0.734006734006734,0.0,0.02478670508093963,0.016902970679012346,0.023751929012345678,0.0078125,0.0
fixed,civ-14,0.24116809116809115,0.2940516273849607,0.26463431898214507,0.34118967452300786,0.12570145903479235,0.6711560044893379,0.6812570145903479,0.0,0.3427044175171904,0.017096265983245148,0.02382675540123457,0.0115,0.0
fixed,civ-15,0.17123918393268237,0.27384960718294044,0.21059610887197094,0.7890011223344557,0.3613916947250281,0.6083052749719415,0.6711560044893379,0.020202020202020204,1.715980726906202,0.019277314814814817,0.022145833333333333,0.0113125,0.0
oracle-boundary,civ-08,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0017371523430633657,0.0,0.0,0.055125,0.055125
oracle-boundary,civ-09,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.000650496616477405,0.0,0.0,0.054,0.054
oracle-boundary,civ-10,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0007758782759052694,0.0,0.0,0.06375,0.06375
oracle-boundary,civ-11,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0019767705655655524,0.0,0.0,0.06225,0.06225
oracle-boundary,civ-12,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.001043944105875089,0.0,0.0,0.0635,0.0635
oracle-boundary,civ-13,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0006653476176487317,0.0,0.0,0.062375,0.062375
oracle-boundary,civ-14,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0009404742966836686,0.0,0.0,0.06125,0.06125
oracle-boundary,civ-15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0034448443948478045,0.0,0.0,0.063875,0.063875
