front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
streaming,civ-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.07476754086592345,0.0,0.007306818181818182,0.009346590909090909,0.0831875,0.08
fixed,civ-08,detached,intact,0,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.010505836706074747,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,civ-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.015049456656056405,0.0,0.0,0.0,0.0535625,0.0535625
streaming,civ-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.07053757217282038,0.0,0.007306818181818181,0.009346590909090909,0.0831875,0.088
fixed,civ-08,detached,intact,1,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.014017181290171661,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,civ-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.015049456656056405,0.0,0.0,0.0,0.0535625,0.0535625
streaming,civ-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.6363636363636364,0.8181818181818182,4.325639303576771,0.0,0.008761363636363637,0.009414772727272728,0.0831875,0.076
fixed,civ-08,legato,intact,0,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.0162474376179609,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,civ-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,6.748556441732713e-05,0.0,0.0,0.0,0.0535625,0.0535625
streaming,civ-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.6363636363636364,0.8181818181818182,4.316657389811941,0.0,0.008761363636363637,0.009198863636363637,0.0831875,0.08
