model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
fixed/absolute,detached,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,duration,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,joint,ambiguous,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,joint,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,joint,shuffle,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,joint,swap,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/absolute,legato,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,detached,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,duration,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,joint,ambiguous,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,joint,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,joint,shuffle,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,joint,swap,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/present,legato,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/recency,detached,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.207372783793844,3.506990288605596,6.540353040431514,1.50649296875,1.152655078125,1.7952039062499998
fixed/recency,duration,intact,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.1995984375,0.8663562499999998,1.5510242187499999
fixed/recency,joint,ambiguous,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.1995984375,0.8663562499999999,1.5510242187499999
fixed/recency,joint,intact,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.1995984375,0.8663562499999998,1.5510242187499999
fixed/recency,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.2771570312499998,0.9142273437499998,1.6582703125
fixed/recency,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.1995984375,0.8663562499999998,1.5510242187499999
fixed/recency,joint,shuffle,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.1995984375,0.8663562499999998,1.5510242187499999
fixed/recency,joint,swap,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.1995984375,0.8663562499999998,1.5510242187499999
fixed/recency,legato,intact,0.0,0.0,0.0,0.0,0.0,0.0,6.309579499445759,5.113227940373003,6.907755278982137,1.7952039062499998,1.58071171875,1.90245
fixed/reference,detached,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,duration,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,joint,ambiguous,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,joint,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,joint,shuffle,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,joint,swap,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/reference,legato,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
fixed/transition1,detached,intact,0.125,0.0,0.3125,0.0,0.0,0.0,7.8827158763738705,4.945653468339775,10.204903164637782,1.4442846385505195,1.1204458198437497,1.7328133081249997
fixed/transition1,duration,intact,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.233656714375,0.8748127925,1.6158288471874998
fixed/transition1,joint,ambiguous,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,1.9429687038491221,8.497590996148688,1.1166722534375,0.8435940424999999,1.420969214375
fixed/transition1,joint,intact,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.233656714375,0.8748127925,1.6158288471874998
fixed/transition1,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.233656714375,0.8748127925,1.6158288471875
