model,group,cell,condition,variant,accuracy,log_loss,brier
streaming/absolute,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-08,detached,intact,0,0.0,6.907755278982137,1.90245
streaming/reference,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,civ-08,detached,intact,0,0.0,10.819778284410283,1.99800098
streaming/transition2,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-08,detached,intact,0,0.0,2.1223490426911127,1.0444812499999996
fixed/reference,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition2,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/present,civ-08,detached,intact,0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-08,detached,intact,0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,civ-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition1,civ-08,detached,intact,0,1.0,0.6941076416550698,0.5000004800000002
oracle-boundary/transition2,civ-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition3,civ-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/absolute,civ-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/present,civ-08,detached,intact,1,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-08,detached,intact,1,0.0,6.907755278982137,1.90245
streaming/reference,civ-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/transition1,civ-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/transition2,civ-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
