front,group,precision,recall,f1,split_rate,merge_rate,pitch_accuracy,pitch_availability,octave_error_rate,mean_pitch_error_available,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
streaming,civ-16,1.0,1.0,1.0,0.0,0.0,0.5937149270482602,0.7463524130190797,0.0,4.161375873250955,0.009503858024691357,0.010418630751964086,0.1010625,0.104
streaming,civ-17,1.0,1.0,1.0,0.0,0.0,0.590347923681257,1.0,0.16273849607182939,4.542464262545504,0.007300224466891134,0.009629840067340068,0.11725,0.104
streaming,civ-18,1.0,1.0,1.0,0.0,0.0,0.4551066217732884,0.9494949494949496,0.010101010101010102,9.718075175410695,0.010458824354657689,0.009712752525252525,0.1096875,0.104
streaming,civ-19,0.9518518518518518,1.0,0.9748283752860414,0.0,0.0,0.7968574635241301,1.0,0.19304152637485966,2.4216362933407245,0.008257295173961843,0.009343714927048259,0.11425,0.104
streaming,civ-20,1.0,1.0,1.0,0.052749719416386086,0.052749719416386086,0.606060606060606,0.7362514029180696,0.0897867564534231,2.6120490543587973,0.008358936588103256,0.009071899551066218,0.1081875,0.104
streaming,civ-21,0.9907407407407407,1.0,0.9951690821256037,0.0,0.0,0.5802469135802468,1.0,0.14590347923681252,6.483756690845439,0.00809385521885522,0.010113566217732885,0.11125,0.104
streaming,civ-22,1.0,1.0,1.0,0.0,0.0,0.6262626262626263,1.0,0.0897867564534231,4.668069533953842,0.010472222222222223,0.010523569023569025,0.10975,0.104
streaming,civ-23,1.0,1.0,1.0,0.0,0.0,0.6829405162738494,1.0,0.19360269360269358,3.899192472588668,0.008218855218855218,0.009573793490460157,0.115875,0.104
streaming,civ-24,0.9103535353535354,0.8540965207631874,0.8808250572956455,0.0,0.07295173961840629,0.7934904601571269,0.813692480359147,0.0,0.08867470677574514,0.006223174202340869,0.007130601651434985,0.10675,0.104
streaming,civ-25,1.0,1.0,1.0,0.0,0.0,0.6812570145903478,1.0,0.0,4.285590337906245,0.007260662177328844,0.009533670033670033,0.112875,0.104
streaming,civ-26,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8086419753086419,0.8591470258136925,0.0,1.0549687519319775,0.008179418690877023,0.00816245390412057,0.111375,0.104
streaming,civ-27,0.7598905723905722,1.0,0.8621387379841486,0.0,0.0,0.7239057239057238,1.0,0.06285072951739618,4.466962099831121,0.010389169472502806,0.010508627946127946,0.119375,0.104
streaming,civ-28,0.9058080808080808,0.8540965207631874,0.8786605551311433,0.0,0.07295173961840629,0.6285072951739618,0.7861952861952862,0.0897867564534231,2.9864739516159102,0.007086410233285234,0.008042004369087703,0.108375,0.104
streaming,civ-29,1.0,1.0,1.0,0.0,0.0,0.49775533108866443,1.0,0.26879910213243546,7.371268009243416,0.009213945005611672,0.011733445566778902,0.11525,0.104
streaming,civ-30,1.0,1.0,1.0,0.0,0.0,0.6313131313131313,0.9848484848484849,0.0897867564534231,5.948193898356973,0.00958999719416386,0.009678942199775532,0.1131875,0.104
streaming,civ-31,1.0,1.0,1.0,0.0,0.0,0.6936026936026936,1.0,0.20314253647586977,4.076895010953347,0.008321689113355778,0.008980218855218856,0.111125,0.1
streaming,civ-32,1.0,1.0,1.0,0.0,0.0,0.9292929292929293,0.9494949494949496,0.0,0.08879799870730361,0.00717739898989899,0.007712892817059484,0.102375,0.104
streaming,civ-33,1.0,1.0,1.0,0.0,0.0,0.5331088664421998,1.0,0.19304152637485966,6.004963087364276,0.007987373737373737,0.010246212121212121,0.107,0.1
streaming,civ-34,1.0,1.0,1.0,0.0,0.0,0.9595959595959597,1.0,0.0,0.10190822230002872,0.006718364197530864,0.0068183922558922565,0.1049375,0.1
streaming,civ-35,0.9425925925925925,1.0,0.9699974574116451,0.0,0.0,0.8338945005611672,1.0,0.04264870931537598,2.920781121268865,0.009596240179573511,0.008802749719416386,0.102875,0.092
streaming,civ-36,1.0,1.0,1.0,0.0,0.0,0.759820426487093,0.9696969696969698,0.19977553310886642,2.742622768540082,0.00817375140291807,0.008818532547699215,0.1008125,0.104
streaming,civ-37,1.0,1.0,1.0,0.0,0.0,0.5555555555555556,1.0,0.2502805836139169,6.935047237094641,0.008533950617283952,0.01096310325476992,0.09875,0.092
streaming,civ-38,1.0,1.0,1.0,0.0,0.0,0.611111111111111,0.9191919191919192,0.1795735129068462,5.241261953286236,0.010782898428731763,0.010664351851851852,0.0966875,0.096
streaming,civ-39,0.9012626262626262,0.8540965207631874,0.8764960529666411,0.0,0.07295173961840629,0.6257014590347922,0.8641975308641976,0.045454545454545456,4.445060323151498,0.008680094095719095,0.009905741442199776,0.154125,0.104
fixed,civ-16,0.2819304152637485,0.25364758698092027,0.2665864999198332,0.0303030303030303,0.0,0.6083052749719415,0.6083052749719415,0.0,0.010694518270630674,0.016580439814814815,0.024642939814814815,0.0021875,0.0
