front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
streaming,civ-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.08736626849661243,0.0,0.007806818181818182,0.010619318181818181,0.0786875,0.072
fixed,civ-16,detached,intact,0,11,10,9,2,0.2,0.18181818181818182,0.19047619047619047,0,0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.0100595023297004,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,civ-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.007416299527298367,0.0,0.0,0.0,0.062375,0.062375
streaming,civ-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.07274881853243792,0.0,0.007443181818181818,0.010255681818181818,0.093875,0.08
fixed,civ-16,detached,intact,1,11,10,9,2,0.2,0.18181818181818182,0.19047619047619047,0,0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.01319151181784831,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,civ-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.007416299527298367,0.0,0.0,0.0,0.062375,0.062375
streaming,civ-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.7272727272727273,0.8181818181818182,2.239954606592295,0.0,0.009261363636363637,0.009892045454545455,0.1010625,0.104
fixed,civ-16,legato,intact,0,11,11,9,2,0.18181818181818182,0.18181818181818182,0.18181818181818182,1,0,0.09090909090909091,0.0,0.8181818181818182,0.8181818181818182,0.024339921030464135,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,civ-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00019224046000414859,0.0,0.0,0.0,0.062375,0.062375
streaming,civ-16,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.7272727272727273,0.8181818181818182,2.241263819749946,0.0,0.009261363636363635,0.009892045454545455,0.1010625,0.104
fixed,civ-16,legato,intact,1,11,11,9,2,0.18181818181818182,0.18181818181818182,0.18181818181818182,1,0,0.09090909090909091,0.0,0.8181818181818182,0.8181818181818182,0.024397021575258256,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,civ-16,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00019224046000414859,0.0,0.0,0.0,0.062375,0.062375
streaming,civ-16,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.6363636363636364,2.8110695950993305,0.0,0.010301136363636363,0.011204545454545455,0.09025,0.08
fixed,civ-16,duration,intact,0,11,9,6,3,0.3333333333333333,0.2727272727272727,0.3,0,0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.005822378520753835,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00021816382959040763,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.6363636363636364,2.807703722436739,0.0,0.010301136363636363,0.01084090909090909,0.09025,0.08
fixed,civ-16,duration,intact,1,11,10,6,3,0.3,0.2727272727272727,0.2857142857142857,1,0,0.09090909090909091,0.0,0.5454545454545454,0.5454545454545454,0.005816592808753303,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00021816382959040763,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.834381689892441,0.0,0.0099375,0.010840909090909092,0.09025,0.08
fixed,civ-16,joint,intact,0,11,9,6,3,0.3333333333333333,0.2727272727272727,0.3,0,0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.006514279409592989,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022519138070610905,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.831436551312673,0.0,0.0099375,0.010477272727272726,0.09025,0.08
fixed,civ-16,joint,intact,1,11,10,6,3,0.3,0.2727272727272727,0.2857142857142857,1,0,0.09090909090909091,0.0,0.5454545454545454,0.5454545454545454,0.0065084936975924575,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022519138070610905,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666666,9.498814701699619,0.0,0.0096875,0.009916666666666666,0.0846875,0.08
fixed,civ-16,joint,reset,0,3,3,2,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.018905924170269484,0.0,0.01496875,0.03409375,-0.024875,0.0
oracle-boundary,civ-16,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002129148107751592,0.0,0.0,0.0,0.039125,0.039125
streaming,civ-16,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666666,9.498814701699619,0.0,0.0096875,0.009916666666666666,0.0846875,0.08
fixed,civ-16,joint,reset,1,3,3,2,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.018905924170269484,0.0,0.01496875,0.03409375,-0.024875,0.0
oracle-boundary,civ-16,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002129148107751592,0.0,0.0,0.0,0.039125,0.039125
streaming,civ-16,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,0.7777777777777778,5.50778880513451,0.0,0.008909722222222222,0.009680555555555555,0.09025,0.092
fixed,civ-16,joint,removal,0,9,9,4,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0,0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.009579707722677449,0.0,0.015890625,0.028828125000000003,-0.017875,0.0
oracle-boundary,civ-16,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00021732095866399946,0.0,0.0,0.0,0.046125,0.046125
streaming,civ-16,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,0.7777777777777778,5.50778880513451,0.0,0.008909722222222222,0.009680555555555555,0.09025,0.092
fixed,civ-16,joint,removal,1,9,9,4,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0,0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.009579707722677449,0.0,0.015890625,0.028828125000000003,-0.017875,0.0
oracle-boundary,civ-16,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00021732095866399946,0.0,0.0,0.0,0.046125,0.046125
streaming,civ-16,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.831436551312673,0.0,0.0099375,0.010477272727272726,0.09025,0.08
fixed,civ-16,joint,swap,0,11,10,6,3,0.3,0.2727272727272727,0.2857142857142857,1,0,0.09090909090909091,0.0,0.5454545454545454,0.5454545454545454,0.0065084936975924575,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022519138070610905,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.834381689892441,0.0,0.0099375,0.010840909090909092,0.09025,0.08
fixed,civ-16,joint,swap,1,11,9,6,3,0.3333333333333333,0.2727272727272727,0.3,0,0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.006514279409592989,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022519138070610905,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.82664055875943,0.0,0.0099375,0.010477272727272726,0.09025,0.08
fixed,civ-16,joint,shuffle,0,11,10,6,3,0.3,0.2727272727272727,0.2857142857142857,1,0,0.09090909090909091,0.0,0.5454545454545454,0.5454545454545454,0.006475295401627375,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022519138070610905,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.829585697339198,0.0,0.0099375,0.010840909090909092,0.09025,0.08
fixed,civ-16,joint,shuffle,1,11,9,6,3,0.3333333333333333,0.2727272727272727,0.3,0,0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.006481081113627906,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022519138070610905,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.6363636363636364,2.821794567716346,0.0,0.0099375,0.010840909090909092,0.09025,0.08
fixed,civ-16,joint,ambiguous,0,11,9,6,3,0.3333333333333333,0.2727272727272727,0.3,0,0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.006450607136526935,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022023948626153695,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-16,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.6363636363636364,2.821794567716346,0.0,0.0099375,0.010840909090909092,0.09025,0.08
fixed,civ-16,joint,ambiguous,1,11,9,6,3,0.3333333333333333,0.2727272727272727,0.3,0,0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.006450607136526935,0.0,0.017447916666666664,0.024197916666666666,-0.00925,0.0
oracle-boundary,civ-16,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00022023948626153695,0.0,0.0,0.0,0.05475,0.05475
streaming,civ-17,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.06043365992633562,0.0,0.004835227272727272,0.004619318181818182,0.099,0.096
