model,group,cell,condition,accuracy,paired_success,log_loss,brier
streaming/absolute,civ-16,detached,intact,0.5,0.0,5.410379382462122,0.65593813625
streaming/present,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-16,detached,intact,0.0,0.0,6.907755278982137,1.90245
streaming/reference,civ-16,detached,intact,0.5,0.0,5.410379382462122,0.65593813625
streaming/transition1,civ-16,detached,intact,0.5,0.0,5.410379382462122,0.65593813625
streaming/transition2,civ-16,detached,intact,0.5,0.0,5.410379382462122,0.65593813625
streaming/transition3,civ-16,detached,intact,0.5,0.0,5.410379382462122,0.65593813625
fixed/absolute,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-16,detached,intact,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-16,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-16,detached,intact,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,civ-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-16,detached,intact,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,civ-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-16,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-16,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-16,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-16,legato,intact,0.0,0.0,6.907755278982137,1.90245
streaming/reference,civ-16,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-16,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition2,civ-16,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-16,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-16,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
