model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
fixed/absolute,detached,intact,0.1875,0.10416666666666667,0.2916666666666667,0.0,0.0,0.0,4.583960069584289,2.900974304062547,6.450459547721415,0.95674770265625,0.82146645265625,1.0829377924999999
fixed/absolute,duration,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/absolute,joint,ambiguous,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/absolute,joint,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/absolute,joint,removal,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/absolute,joint,reset,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/absolute,joint,shuffle,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/absolute,joint,swap,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/absolute,legato,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,detached,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,duration,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,joint,ambiguous,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,joint,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,joint,removal,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,joint,reset,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,joint,shuffle,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,joint,swap,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/present,legato,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/recency,detached,intact,0.22916666666666666,0.08333333333333333,0.3958333333333333,0.16666666666666666,0.041666666666666664,0.3333333333333333,5.114078263542548,3.9507617896654943,6.193430897466992,1.3955359375,1.0830131510416667,1.686658984375
fixed/recency,duration,intact,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,5.33221418278542,4.3438647151042735,6.209883536189696,1.467713671875,1.2672611979166666,1.6541264322916664
fixed/recency,joint,ambiguous,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,5.232518219529356,4.235558586968726,6.12117172395444,1.4498393229166666,1.24746953125,1.6384786458333334
fixed/recency,joint,intact,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,5.33221418278542,4.3438647151042735,6.209883536189696,1.467713671875,1.2672611979166666,1.6541264322916664
fixed/recency,joint,removal,0.041666666666666664,0.0,0.10416666666666667,0.0,0.0,0.0,5.620317921532802,4.686121517919428,6.463428526769595,1.5191101562499998,1.330470833333333,1.6879578124999999
fixed/recency,joint,reset,0.0625,0.0,0.125,0.0,0.0,0.0,5.375383095832386,4.350100893842433,6.2640366002574694,1.4635697916666663,1.2672611979166666,1.649982552083333
fixed/recency,joint,shuffle,0.10416666666666667,0.020833333333333332,0.1875,0.0,0.0,0.0,5.189349306482391,4.153082953471631,6.12117172395444,1.4281303385416664,1.214256640625,1.62635625
fixed/recency,joint,swap,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,5.33221418278542,4.3438647151042735,6.209883536189696,1.467713671875,1.2672611979166666,1.6541264322916664
fixed/recency,legato,intact,0.1875,0.0625,0.3333333333333333,0.08333333333333333,0.0,0.20833333333333334,4.916977691038464,3.7716846944729086,5.948496071766577,1.3621993489583204,1.0817761718749999,1.6121309895832947
fixed/reference,detached,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.993876816099289,3.26266770282035,6.903695073698156,1.01655502296875,0.8721826128125,1.1661877925
fixed/reference,duration,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,5.378455746661827,3.670132165187623,7.131538978760392,1.0815654682812499,0.9268440425,1.238859839375
fixed/reference,joint,ambiguous,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.991424531951561,3.1706961174239043,6.903695073698156,1.0178701128125,0.8748127924999999,1.1713336831249999
fixed/reference,joint,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,5.014310063756295,3.3298834270719353,6.767393295854859,1.04257064796875,0.90471645265625,1.1778518979687502
fixed/reference,joint,removal,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/reference,joint,reset,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,4.6272788490460295,2.9876118629860287,6.493778327183155,0.9788752925,0.8540002925,1.1037502925
fixed/reference,joint,shuffle,0.14583333333333334,0.0625,0.25,0.0,0.0,0.0,5.014310063756295,3.3298834270719353,6.767393295854859,1.04257064796875,0.90471645265625,1.1778518979687502
fixed/reference,joint,swap,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,5.014310063756295,3.3298834270719353,6.767393295854859,1.04257064796875,0.90471645265625,1.1778518979687502
fixed/reference,legato,intact,0.14583333333333334,0.0625,0.25,0.0,0.0,0.0,5.0371955955610295,3.3080093082523105,6.903695073698156,1.0386826128125,0.8956252925000001,1.181739933125
fixed/transition1,detached,intact,0.16666666666666666,0.0625,0.2916666666666667,0.08333333333333333,0.0,0.20833333333333334,6.319271972849669,4.335147832690867,8.336668221053761,1.2190723006855526,0.9617404980421638,1.4798785831309813
fixed/transition1,duration,intact,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,6.13395181947418,4.205603920395487,8.036911799919263,1.2363147991438974,1.0388120078596879,1.435134439389639
fixed/transition1,joint,ambiguous,0.14583333333333334,0.0625,0.22916666666666666,0.0,0.0,0.0,6.098832784548976,4.391614369129258,7.7680679362369105,1.2040981332839964,1.0245822579752246,1.392819886824207
fixed/transition1,joint,intact,0.10416666666666667,0.020833333333333332,0.1875,0.0,0.0,0.0,6.118447080676892,4.296563090663541,7.896445216161138,1.2226760293244916,1.0279642652315386,1.4163149822865382
fixed/transition1,joint,removal,0.0625,0.0,0.125,0.0,0.0,0.0,8.133445313243156,6.3127168987155,9.68157017208422,1.51965688625,1.3065004643750002,1.7198913471875
