kind,model,comparison,difference,lower_familywise95,upper_familywise95
acoustic,present,timbre-matched,-0.0625,-0.25,0.0
acoustic,present,duration-matched,0.0,0.0,0.0
acoustic,present,joint-matched,-0.0625,-0.25,0.0
acoustic,recency,timbre-matched,-0.25,-0.625,0.0
acoustic,recency,duration-matched,0.0,0.0,0.0
acoustic,recency,joint-matched,-0.25,-0.625,0.0
acoustic,transition,timbre-matched,-0.5,-0.875,-0.125
acoustic,transition,duration-matched,0.0,0.0,0.0
acoustic,transition,joint-matched,-0.5,-0.875,-0.125
acoustic,retrieval_absolute,timbre-matched,-0.5,-0.875,-0.125
acoustic,retrieval_absolute,duration-matched,0.0,0.0,0.0
acoustic,retrieval_absolute,joint-matched,-0.5,-0.875,-0.125
acoustic,reference,timbre-matched,-0.5,-0.875,-0.125
acoustic,reference,duration-matched,0.0,0.0,0.0
acoustic,reference,joint-matched,-0.5,-0.875,-0.125
acoustic,candidate,timbre-matched,-0.5,-0.875,-0.125
acoustic,candidate,duration-matched,0.0,0.0,0.0
acoustic,candidate,joint-matched,-0.5,-0.875,-0.125
oracle,present,timbre-matched,0.0,0.0,0.0
oracle,present,duration-matched,0.0,0.0,0.0
oracle,present,joint-matched,0.0,0.0,0.0
oracle,recency,timbre-matched,0.0,0.0,0.0
oracle,recency,duration-matched,0.0,0.0,0.0
oracle,recency,joint-matched,0.0,0.0,0.0
oracle,transition,timbre-matched,0.0,0.0,0.0
oracle,transition,duration-matched,0.0,0.0,0.0
oracle,transition,joint-matched,0.0,0.0,0.0
oracle,retrieval_absolute,timbre-matched,0.0,0.0,0.0
oracle,retrieval_absolute,duration-matched,0.0,0.0,0.0
oracle,retrieval_absolute,joint-matched,0.0,0.0,0.0
oracle,reference,timbre-matched,0.0,0.0,0.0
oracle,reference,duration-matched,0.0,0.0,0.0
oracle,reference,joint-matched,0.0,0.0,0.0
oracle,candidate,timbre-matched,0.0,0.0,0.0
oracle,candidate,duration-matched,0.0,0.0,0.0
oracle,candidate,joint-matched,0.0,0.0,0.0
