kind,model,group,cell,condition,accuracy,paired_success,log_loss,brier,target_quantization_error
acoustic,candidate,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,2.2721483183829605e-06
acoustic,present,cmr-08,matched,intact,0.0,0.0,2.0802818946775288,0.9217814018750008,2.2721483183829605e-06
acoustic,recency,cmr-08,matched,intact,0.0,0.0,6.907755278982137,1.9024499999999986,2.2721483183829605e-06
acoustic,reference,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,2.2721483183829605e-06
acoustic,retrieval_absolute,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,2.2721483183829605e-06
acoustic,transition,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,2.2721483183829605e-06
oracle,present,cmr-08,matched,intact,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,matched,intact,0.0,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-08,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-08,timbre,intact,0.0,0.0,10.819778284410283,1.998000980000001,1.7010210449086571e-06
acoustic,present,cmr-08,timbre,intact,0.0,0.0,10.819778284410283,1.171531401875001,1.7010210449086571e-06
acoustic,recency,cmr-08,timbre,intact,0.0,0.0,6.907755278982137,1.1550671874999983,1.7010210449086571e-06
acoustic,reference,cmr-08,timbre,intact,0.0,0.0,10.819778284410283,1.998000980000001,1.7010210449086571e-06
acoustic,retrieval_absolute,cmr-08,timbre,intact,0.0,0.0,10.819778284410283,1.171531401875001,1.7010210449086571e-06
acoustic,transition,cmr-08,timbre,intact,0.0,0.0,10.819778284410283,1.171531401875001,1.7010210449086571e-06
oracle,present,cmr-08,timbre,intact,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,timbre,intact,0.0,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-08,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-08,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-08,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-08,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7946765508369822e-05
acoustic,present,cmr-08,duration,intact,0.0,0.0,2.0802818946775288,0.9217814018750008,1.7946765508369822e-05
acoustic,recency,cmr-08,duration,intact,0.0,0.0,6.907755278982137,1.9024499999999986,1.7946765508369822e-05
acoustic,reference,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7946765508369822e-05
acoustic,retrieval_absolute,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7946765508369822e-05
acoustic,transition,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7946765508369822e-05
oracle,present,cmr-08,duration,intact,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,duration,intact,0.0,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-08,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-08,joint,intact,0.0,0.0,10.819778284410283,1.998000980000001,8.212439361443558e-06
acoustic,present,cmr-08,joint,intact,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,recency,cmr-08,joint,intact,0.0,0.0,6.907755278982137,1.1550671874999983,8.212439361443558e-06
acoustic,reference,cmr-08,joint,intact,0.0,0.0,10.819778284410283,1.998000980000001,8.212439361443558e-06
acoustic,retrieval_absolute,cmr-08,joint,intact,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,transition,cmr-08,joint,intact,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
oracle,present,cmr-08,joint,intact,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,joint,intact,0.0,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-08,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-08,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-08,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-08,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-08,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,present,cmr-08,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,recency,cmr-08,joint,reset,0.0,0.0,6.907755278982137,1.1550671874999983,8.212439361443558e-06
acoustic,reference,cmr-08,joint,reset,0.0,0.0,10.819778284410283,1.311875292500001,8.212439361443558e-06
acoustic,retrieval_absolute,cmr-08,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,transition,cmr-08,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
oracle,present,cmr-08,joint,reset,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,joint,reset,0.0,0.0,2.1223490426911127,0.9175671875000004,0.0
oracle,transition,cmr-08,joint,reset,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,retrieval_absolute,cmr-08,joint,reset,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,reference,cmr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252925000007,0.0
oracle,candidate,cmr-08,joint,reset,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
acoustic,candidate,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,present,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,recency,cmr-08,joint,removal,0.0,0.0,6.907755278982137,1.1550671874999983,8.212439361443558e-06
acoustic,reference,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.311875292500001,8.212439361443558e-06
acoustic,retrieval_absolute,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,transition,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
oracle,present,cmr-08,joint,removal,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,joint,removal,0.0,0.0,2.1223490426911127,0.9175671875000004,0.0
oracle,transition,cmr-08,joint,removal,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
