kind,model,group,cell,condition,variant,accuracy,log_loss,brier,target_quantization_error
acoustic,candidate,cmr-16,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,5.641557024205213e-06
acoustic,present,cmr-16,matched,intact,0,1.0,1.7196713928338012,0.7988171875000005,5.641557024205213e-06
acoustic,recency,cmr-16,matched,intact,0,0.0,6.907755278982137,1.9024499999999982,5.641557024205213e-06
acoustic,reference,cmr-16,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,5.641557024205213e-06
acoustic,retrieval_absolute,cmr-16,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,5.641557024205213e-06
acoustic,transition,cmr-16,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,5.641557024205213e-06
oracle,present,cmr-16,matched,intact,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-16,matched,intact,0,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-16,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-16,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-16,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-16,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-16,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,5.641557024205213e-06
acoustic,present,cmr-16,matched,intact,1,0.0,1.7196713928338012,0.7988171875000005,5.641557024205213e-06
acoustic,recency,cmr-16,matched,intact,1,0.0,6.907755278982137,1.9024499999999982,5.641557024205213e-06
acoustic,reference,cmr-16,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,5.641557024205213e-06
acoustic,retrieval_absolute,cmr-16,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,5.641557024205213e-06
acoustic,transition,cmr-16,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,5.641557024205213e-06
oracle,present,cmr-16,matched,intact,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-16,matched,intact,1,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-16,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-16,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-16,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-16,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-16,timbre,intact,0,0.0,6.907755278982137,1.9024499999999982,1.7014360480516189e-06
acoustic,present,cmr-16,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,1.7014360480516189e-06
acoustic,recency,cmr-16,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,1.7014360480516189e-06
acoustic,reference,cmr-16,timbre,intact,0,0.0,10.819778284410283,1.998000980000001,1.7014360480516189e-06
acoustic,retrieval_absolute,cmr-16,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,1.7014360480516189e-06
acoustic,transition,cmr-16,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,1.7014360480516189e-06
oracle,present,cmr-16,timbre,intact,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-16,timbre,intact,0,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-16,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-16,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-16,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
