model,cell,repaired_minus_oracle,lower_familywise95,upper_familywise95
present,detached,0.0,0.0,0.0
present,legato,0.0,0.0,0.0
present,duration,0.0,0.0,0.0
present,joint,0.0,0.0,0.0
recency,detached,0.0,0.0,0.0
recency,legato,0.0,0.0,0.0
recency,duration,0.0,0.0,0.0
recency,joint,0.0,0.0,0.0
transition1,detached,0.0,-0.375,0.375
transition1,legato,0.1875,-0.125,0.4375
transition1,duration,0.1875,-0.1875,0.5
transition1,joint,0.3125,0.0,0.5
transition2,detached,0.0,0.0,0.0
transition2,legato,0.0,0.0,0.0
transition2,duration,0.0,0.0,0.0
transition2,joint,0.0,0.0,0.0
transition3,detached,0.0,0.0,0.0
transition3,legato,-0.125,-0.5,0.0
transition3,duration,0.0,0.0,0.0
transition3,joint,0.0,0.0,0.0
absolute,detached,0.0,0.0,0.0
absolute,legato,-0.125,-0.5,0.0
absolute,duration,0.0,0.0,0.0
absolute,joint,0.0,0.0,0.0
reference,detached,0.0,0.0,0.0
reference,legato,-0.125,-0.5,0.0
reference,duration,0.0,0.0,0.0
reference,joint,0.0,0.0,0.0
