front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
repaired,ewr-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.002531289869243481,0.0,0.006943181818181818,0.008982954545454546,0.0831875,0.08
streaming,ewr-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.05474508732729784,0.0,0.006943181818181818,0.008982954545454546,0.0831875,0.08
fixed,ewr-08,detached,intact,0,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.006558375128937373,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,ewr-08,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.020903263908178548,0.0,0.0,0.0,0.0535625,0.0535625
repaired,ewr-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005499359970211109,0.0,0.006943181818181818,0.008982954545454546,0.0831875,0.088
streaming,ewr-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.05682746484723969,0.0,0.006943181818181818,0.008982954545454546,0.0831875,0.088
fixed,ewr-08,detached,intact,1,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.006647968853157472,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,ewr-08,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.020903263908178548,0.0,0.0,0.0,0.0535625,0.0535625
repaired,ewr-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0010758781318227766,0.0,0.009488636363636364,0.009778409090909093,0.0831875,0.072
streaming,ewr-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.84765913108505,0.0,0.009488636363636364,0.009778409090909093,0.0831875,0.072
fixed,ewr-08,legato,intact,0,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.030039586312231265,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,ewr-08,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010383411897733194,0.0,0.0,0.0,0.0535625,0.0535625
repaired,ewr-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0010702033683770396,0.0,0.009852272727272727,0.009926136363636364,0.0831875,0.08
streaming,ewr-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.6363636363636364,5.507433214097,0.0,0.009852272727272727,0.009926136363636364,0.0831875,0.08
fixed,ewr-08,legato,intact,1,11,9,8,5,0.5555555555555556,0.45454545454545453,0.5,0,0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.03159248295233734,0.0,0.018125000000000002,0.014875,0.010375,0.0
oracle-boundary,ewr-08,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010383411897733194,0.0,0.0,0.0,0.0535625,0.0535625
repaired,ewr-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.009663442863508898,0.0,0.01052840909090909,0.010795454545454546,0.0945625,0.096
streaming,ewr-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,4.856704718252965,0.0,0.01052840909090909,0.010795454545454546,0.0945625,0.096
fixed,ewr-08,duration,intact,0,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,1,0,0.09090909090909091,0.0,0.7272727272727273,0.7272727272727273,0.01748117294605491,0.0,0.0190234375,0.019953125000000002,0.00275,0.0
oracle-boundary,ewr-08,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010560022156034134,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0004150375443043714,0.0,0.010164772727272729,0.010545454545454545,0.0945625,0.096
streaming,ewr-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,4.858265951887189,0.0,0.010164772727272729,0.010545454545454545,0.0945625,0.096
fixed,ewr-08,duration,intact,1,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,1,0,0.09090909090909091,0.0,0.7272727272727273,0.7272727272727273,0.02114403512998716,0.0,0.0190234375,0.019953125000000002,0.00275,0.0
oracle-boundary,ewr-08,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010560022156034134,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.009635934205071346,0.0,0.01052840909090909,0.010795454545454546,0.0945625,0.096
