model,group,cell,condition,accuracy,paired_success,log_loss,brier
repaired/absolute,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,detached,intact,0.0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-08,detached,intact,0.5,0.0,0.5602046221017718,0.373258419398494
repaired/transition2,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/present,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,detached,intact,0.0,0.0,6.907755278982137,1.90245
streaming/reference,ewr-08,detached,intact,1.0,1.0,0.49137842428211903,0.28131313625
streaming/transition1,ewr-08,detached,intact,0.5,0.0,0.6289905583871725,0.5112456282435319
streaming/transition2,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/transition3,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
fixed/absolute,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,detached,intact,0.5,0.0,1.0293194621721604,0.5694812499999999
fixed/reference,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition2,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,ewr-08,detached,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,detached,intact,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,detached,intact,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/absolute,ewr-08,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-08,legato,intact,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,legato,intact,0.0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-08,legato,intact,0.5,0.0,0.6943590585876999,0.5002516552274316
repaired/transition2,ewr-08,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-08,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
