model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
fixed/absolute,detached,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,duration,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,joint,ambiguous,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,joint,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,joint,shuffle,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,joint,swap,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/absolute,legato,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/present,detached,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/present,duration,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/present,joint,ambiguous,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/present,joint,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
fixed/present,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,5.0829666591704985,2.4861529892520906,8.497590996148688,1.0309065425,0.8123752925,1.2182190425
