group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
ewr-08,detached,intact,0,0.1,0.068,1,21.156642158662148,0.000733875
ewr-08,detached,intact,0,0.096,0.064,1,14.917149752760453,0.000370458
ewr-08,detached,intact,0,0.096,0.064,1,11.171279866360582,0.000759334
ewr-08,detached,intact,0,0.068,0.036,1,4.709267969447912,0.000414458
ewr-08,detached,intact,0,0.1,0.068,1,21.16343185810485,0.000246333
ewr-08,detached,intact,0,0.096,0.064,1,14.079872340649333,0.000547375
ewr-08,detached,intact,0,0.092,0.06,1,10.47624042800497,0.000275917
ewr-08,detached,intact,0,0.08,0.048,1,11.187890740708442,0.000536334
ewr-08,detached,intact,0,0.1,0.068,1,21.151704180648707,0.000368041
ewr-08,detached,intact,0,0.096,0.064,1,14.926277723905802,0.000722167
ewr-08,detached,intact,0,0.072,0.04,1,6.984496721239654,0.000372875
ewr-08,detached,intact,1,0.1,0.068,1,21.156642158662148,0.000711542
ewr-08,detached,intact,1,0.096,0.064,1,14.917149752760453,0.000367292
ewr-08,detached,intact,1,0.092,0.06,1,10.476796613809293,0.000753959
ewr-08,detached,intact,1,0.08,0.048,1,11.187905566221605,0.000344208
ewr-08,detached,intact,1,0.1,0.068,1,21.16343185810485,0.000270875
ewr-08,detached,intact,1,0.096,0.064,1,14.079872340649333,0.0005735
ewr-08,detached,intact,1,0.096,0.064,1,11.201043165005782,0.000230333
ewr-08,detached,intact,1,0.068,0.036,1,4.70926684434501,0.000652333
ewr-08,detached,intact,1,0.1,0.068,1,21.151704180648707,0.000380916
ewr-08,detached,intact,1,0.096,0.064,1,14.926277723905802,0.000696166
ewr-08,detached,intact,1,0.072,0.04,1,6.984496721239654,0.00039325
ewr-08,legato,intact,0,0.108,0.076,1,23.64588658162255,0.000622583
ewr-08,legato,intact,0,0.092,0.06,1,13.985120410624491,0.000320416
ewr-08,legato,intact,0,0.092,0.06,1,10.47720184789967,0.000659083
ewr-08,legato,intact,0,0.076,0.044,1,5.756387856840735,0.000320541
ewr-08,legato,intact,0,0.108,0.076,1,23.65335180767949,0.000171083
ewr-08,legato,intact,0,0.088,0.056,1,12.320487459836084,0.000561834
ewr-08,legato,intact,0,0.092,0.06,1,10.477177665752226,0.000307083
ewr-08,legato,intact,0,0.088,0.056,1,13.052876193426622,0.000477042
ewr-08,legato,intact,0,0.104,0.072,1,22.401130870361385,0.000333417
ewr-08,legato,intact,0,0.096,0.064,1,14.91710574829989,0.000638792
ewr-08,legato,intact,0,0.076,0.044,1,7.683694506638771,0.000284
ewr-08,legato,intact,1,0.108,0.076,1,23.64588658162255,0.000651208
ewr-08,legato,intact,1,0.092,0.06,1,13.985120410624491,0.000318292
ewr-08,legato,intact,1,0.092,0.06,1,10.47720184789967,0.0007255
ewr-08,legato,intact,1,0.084,0.052,1,12.120110103354534,0.000241458
ewr-08,legato,intact,1,0.108,0.076,1,23.65335180767949,0.000170583
ewr-08,legato,intact,1,0.088,0.056,1,12.320487459836084,0.000561084
ewr-08,legato,intact,1,0.096,0.064,1,11.17574019502552,0.000229459
ewr-08,legato,intact,1,0.076,0.044,1,5.756381955017843,0.000533209
ewr-08,legato,intact,1,0.104,0.072,1,22.401130870361385,0.000333667
ewr-08,legato,intact,1,0.096,0.064,1,14.91710574829989,0.000676208
ewr-08,legato,intact,1,0.076,0.044,1,7.683694506638771,0.000303125
ewr-08,duration,intact,0,0.108,0.076,1,23.645893847525535,0.000623959
ewr-08,duration,intact,0,0.104,0.072,1,16.782186164524404,0.000210708
ewr-08,duration,intact,0,0.084,0.052,1,9.080384383831174,0.000621709
ewr-08,duration,intact,0,0.076,0.044,1,5.756894509420806,0.000281334
ewr-08,duration,intact,0,0.108,0.076,1,23.64602442426788,0.0008235
ewr-08,duration,intact,0,0.104,0.072,1,15.840290429060778,0.000415209
ewr-08,duration,intact,0,0.084,0.052,1,9.028062850943918,0.0001525
ewr-08,duration,intact,0,0.084,0.052,1,12.120594569497175,0.000372167
ewr-08,duration,intact,0,0.108,0.076,1,23.64594391501387,0.000211084
ewr-08,duration,intact,0,0.108,0.076,1,17.7146224032248,0.000432375
