model,group,cell,condition,variant,accuracy,log_loss,brier
repaired/absolute,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/present,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,detached,intact,0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition1,ewr-08,detached,intact,0,0.0,0.7477932273177812,0.5535837140411468
repaired/transition2,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition3,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/absolute,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/present,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,detached,intact,0,0.0,6.907755278982137,1.90245
streaming/reference,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,detached,intact,0,0.0,1.2570006362603836,1.0224902764870638
streaming/transition2,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/transition3,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
fixed/absolute,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,detached,intact,0,1.0,1.0293194621721604,0.5694812499999999
fixed/reference,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition2,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/present,ewr-08,detached,intact,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,detached,intact,0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,detached,intact,0,1.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/absolute,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/present,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,detached,intact,1,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition1,ewr-08,detached,intact,1,1.0,0.3726160168857623,0.19293312475584123
repaired/transition2,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition3,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/absolute,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/present,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,detached,intact,1,0.0,6.907755278982137,1.90245
streaming/reference,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/transition1,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/transition2,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/transition3,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
fixed/absolute,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,detached,intact,1,0.0,1.0293194621721604,0.5694812499999999
fixed/reference,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/transition2,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/present,ewr-08,detached,intact,1,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,detached,intact,1,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,detached,intact,1,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/absolute,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/present,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,legato,intact,0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition1,ewr-08,legato,intact,0,1.0,0.693708155550237,0.4996013773465051
repaired/transition2,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition3,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/absolute,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,legato,intact,0,0.0,6.907755278982137,1.90245
streaming/reference,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,legato,intact,0,1.0,1.0293194621721604,0.5694812499999999
fixed/reference,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition2,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/present,ewr-08,legato,intact,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,legato,intact,0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,legato,intact,0,1.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/absolute,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/present,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,legato,intact,1,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition1,ewr-08,legato,intact,1,0.0,0.6950099616251627,0.5009019331083582
repaired/transition2,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition3,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/absolute,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,legato,intact,1,0.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,legato,intact,1,0.0,1.0293194621721604,0.5694812499999999
fixed/reference,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/transition2,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/present,ewr-08,legato,intact,1,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,legato,intact,1,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,legato,intact,1,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/absolute,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/present,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,duration,intact,0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition1,ewr-08,duration,intact,0,1.0,0.12858436573617818,0.02888724612791882
repaired/transition2,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition3,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/absolute,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,duration,intact,0,1.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,duration,intact,0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition2,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/present,ewr-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,duration,intact,0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,duration,intact,0,1.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/absolute,ewr-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/present,ewr-08,duration,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,duration,intact,1,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition1,ewr-08,duration,intact,1,1.0,0.6834025449068,0.4893060164332954
repaired/transition2,ewr-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition3,ewr-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
