model,cell,repaired_minus_oracle,lower_familywise95,upper_familywise95
present,detached,0.0,0.0,0.0
present,legato,0.0,0.0,0.0
present,duration,0.0,0.0,0.0
present,joint,0.0,0.0,0.0
recency,detached,0.10416666666666667,-0.041666666666666664,0.2916666666666667
recency,legato,0.10416666666666667,-0.041666666666666664,0.2916666666666667
recency,duration,0.10416666666666667,-0.041666666666666664,0.2916666666666667
recency,joint,0.10416666666666667,-0.041666666666666664,0.2916666666666667
transition1,detached,0.10416666666666667,-0.10416666666666667,0.3125
transition1,legato,0.10416666666666667,-0.125,0.3125
transition1,duration,0.14583333333333334,-0.08333333333333333,0.3333333333333333
transition1,joint,0.0,-0.22916666666666666,0.22916666666666666
transition2,detached,-0.0625,-0.16666666666666666,0.0
transition2,legato,-0.08333333333333333,-0.1875,0.0
transition2,duration,-0.0625,-0.16666666666666666,0.0
transition2,joint,-0.0625,-0.16666666666666666,0.0
transition3,detached,-0.0625,-0.16666666666666666,0.0
transition3,legato,-0.08333333333333333,-0.1875,0.0
transition3,duration,-0.0625,-0.16666666666666666,0.0
transition3,joint,-0.0625,-0.16666666666666666,0.0
absolute,detached,-0.0625,-0.16666666666666666,0.0
absolute,legato,-0.08333333333333333,-0.1875,0.0
absolute,duration,-0.0625,-0.16666666666666666,0.0
absolute,joint,-0.0625,-0.16666666666666666,0.0
reference,detached,-0.0625,-0.16666666666666666,0.0
reference,legato,-0.08333333333333333,-0.1875,0.0
reference,duration,-0.0625,-0.16666666666666666,0.0
reference,joint,-0.0625,-0.16666666666666666,0.0
