front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
repaired,ewr-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.012866663184957721,0.0,0.008170454545454547,0.011346590909090909,0.0786875,0.072
streaming,ewr-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.09300637737696003,0.0,0.008170454545454547,0.011346590909090909,0.0786875,0.072
fixed,ewr-16,detached,intact,0,11,10,9,2,0.2,0.18181818181818182,0.19047619047619047,0,0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.006269844345395423,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,ewr-16,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.010784236362576898,0.0,0.0,0.0,0.062375,0.062375
repaired,ewr-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00516607091174226,0.0,0.008170454545454545,0.010982954545454544,0.093875,0.08
streaming,ewr-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.09617337872047176,0.0,0.008170454545454545,0.010982954545454544,0.093875,0.08
fixed,ewr-16,detached,intact,1,11,10,9,2,0.2,0.18181818181818182,0.19047619047619047,0,0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.008932243687297973,0.0,0.0155625,0.0189375,0.0021875,0.0
oracle-boundary,ewr-16,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.010784236362576898,0.0,0.0,0.0,0.062375,0.062375
repaired,ewr-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003922062916468266,0.0,0.009261363636363639,0.010619318181818183,0.093875,0.08
streaming,ewr-16,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,4.835725106863407,0.0,0.009261363636363639,0.010619318181818183,0.093875,0.08
