model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
fixed/absolute,detached,intact,0.2708333333333333,0.14583333333333334,0.3958333333333333,0.08333333333333333,0.0,0.20833333333333334,4.408232667589597,2.717890049624671,6.325407777631647,0.8695524331250001,0.7004222534375001,1.0282763628125
fixed/absolute,duration,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/absolute,joint,ambiguous,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/absolute,joint,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/absolute,joint,removal,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/absolute,joint,reset,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/absolute,joint,shuffle,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/absolute,joint,swap,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/absolute,legato,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.44909916290361,2.7685656815295956,6.381802952307211,0.8929951128125001,0.7473076128124999,1.03999770265625
fixed/present,detached,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/present,duration,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/present,joint,ambiguous,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
