group,pitched_events,missing_measurements,availability,mean_support_duration_s,max_extra_processing_seconds
ewr-16,178,0,1.0,0.06213483146067415,0.00076625
ewr-17,178,0,1.0,0.06710112359550563,0.00089375
ewr-18,174,0,1.0,0.07098850574712642,0.000958166
ewr-19,178,0,1.0,0.0696629213483146,0.001042875
ewr-20,178,0,1.0,0.06287640449438202,0.000950333
ewr-21,164,0,1.0,0.07546341463414633,0.00095825
ewr-22,179,1,0.994413407821229,0.06864804469273743,0.001162292
ewr-23,217,51,0.7649769585253456,0.05102304147465438,0.001352333
ewr-24,178,0,1.0,0.06503370786516854,0.000899125
ewr-25,164,0,1.0,0.0763170731707317,0.000937625
ewr-26,178,0,1.0,0.07020224719101124,0.0009585
ewr-27,222,53,0.7612612612612613,0.052162162162162164,0.001201
ewr-28,178,0,1.0,0.06507865168539326,0.000933375
ewr-29,178,0,1.0,0.06910112359550562,0.001038709
ewr-30,178,0,1.0,0.06984269662921347,0.001022292
ewr-31,178,0,1.0,0.07128089887640449,0.001269875
ewr-32,164,0,1.0,0.07570731707317073,0.000920458
ewr-33,178,0,1.0,0.06986516853932584,0.000918333
ewr-34,178,0,1.0,0.07128089887640449,0.000943041
ewr-35,200,22,0.89,0.06194,0.00132675
ewr-36,164,0,1.0,0.07614634146341463,0.000888167
ewr-37,178,0,1.0,0.06993258426966292,0.001010625
ewr-38,178,0,1.0,0.07208988764044945,0.000916083
ewr-39,188,10,0.9468085106382979,0.0684468085106383,0.001251917
