group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
ewr-16,detached,intact,0,0.104,0.072,1,22.39442565683923,0.000686958
ewr-16,detached,intact,0,0.1,0.068,1,14.941048628799193,0.000301625
ewr-16,detached,intact,0,0.096,0.064,1,10.585093383044649,0.000593333
ewr-16,detached,intact,0,0.064,0.032,1,4.434896726090293,0.000376791
ewr-16,detached,intact,0,0.1,0.068,1,21.150454352514238,0.000175459
ewr-16,detached,intact,0,0.1,0.068,1,16.794622753599135,0.00044925
ewr-16,detached,intact,0,0.092,0.06,1,9.914728983657191,0.000154125
ewr-16,detached,intact,0,0.076,0.044,1,8.623899373716062,0.000454625
ewr-16,detached,intact,0,0.1,0.068,1,21.15678229477233,0.0002505
ewr-16,detached,intact,0,0.1,0.068,1,14.960250210402442,0.000521959
ewr-16,detached,intact,0,0.068,0.036,1,5.933217240622903,0.000242041
ewr-16,detached,intact,1,0.104,0.072,1,22.39442565683923,0.000659208
ewr-16,detached,intact,1,0.1,0.068,1,14.941048628799193,0.000288791
ewr-16,detached,intact,1,0.092,0.06,1,9.898957446221889,0.000632833
ewr-16,detached,intact,1,0.076,0.044,1,8.623810891211038,0.000283041
ewr-16,detached,intact,1,0.1,0.068,1,21.150454352514238,0.00016475
ewr-16,detached,intact,1,0.1,0.068,1,16.794622753599135,0.000452791
ewr-16,detached,intact,1,0.096,0.064,1,10.550131523372466,0.0007315
ewr-16,detached,intact,1,0.068,0.036,1,4.98927236591597,0.000496209
ewr-16,detached,intact,1,0.1,0.068,1,21.15678229477233,0.000248458
ewr-16,detached,intact,1,0.1,0.068,1,14.960250210402442,0.00053025
ewr-16,detached,intact,1,0.068,0.036,1,5.933217240622903,0.000237625
ewr-16,legato,intact,0,0.1,0.068,1,21.157043327028013,0.000653334
ewr-16,legato,intact,0,0.104,0.072,1,15.840222995986352,0.000244125
ewr-16,legato,intact,0,0.092,0.06,1,9.888460582790803,0.00057
ewr-16,legato,intact,0,0.072,0.04,1,5.543629316431551,0.000393709
ewr-16,legato,intact,0,0.1,0.068,1,21.15659509936121,0.000172125
ewr-16,legato,intact,0,0.1,0.068,1,16.792283922290878,0.000454542
ewr-16,legato,intact,0,0.096,0.064,1,10.548482375959455,0.000755709
ewr-16,legato,intact,0,0.08,0.048,1,9.407959501253922,0.000368208
ewr-16,legato,intact,0,0.104,0.072,1,22.401450622234826,0.000205625
ewr-16,legato,intact,0,0.1,0.068,1,14.96010324555171,0.000489
ewr-16,legato,intact,0,0.072,0.04,1,6.593156155670848,0.000149917
ewr-16,legato,intact,1,0.1,0.068,1,21.157043327028013,0.000654083
ewr-16,legato,intact,1,0.104,0.072,1,15.840222995986352,0.000246375
ewr-16,legato,intact,1,0.092,0.06,1,9.888460582790803,0.000583375
ewr-16,legato,intact,1,0.08,0.048,1,9.40845710513717,0.000193417
ewr-16,legato,intact,1,0.1,0.068,1,21.15659509936121,0.000164791
ewr-16,legato,intact,1,0.1,0.068,1,16.792283922290878,0.000449667
ewr-16,legato,intact,1,0.096,0.064,1,10.548482375959455,0.000728958
ewr-16,legato,intact,1,0.072,0.04,1,5.543879327019471,0.000442167
ewr-16,legato,intact,1,0.104,0.072,1,22.401450622234826,0.000204958
ewr-16,legato,intact,1,0.1,0.068,1,14.96010324555171,0.000479958
ewr-16,legato,intact,1,0.072,0.04,1,6.593156155670848,0.000154459
ewr-16,duration,intact,0,0.108,0.076,1,23.64610438036464,0.000579458
ewr-16,duration,intact,0,0.1,0.068,1,14.95985787809695,0.00020575
ewr-16,duration,intact,0,0.088,0.056,1,9.22987773136072,0.000578166
ewr-16,duration,intact,0,0.076,0.044,1,6.097768143975349,0.00023475
ewr-16,duration,intact,0,0.104,0.072,1,22.40104121215266,0.000754417
ewr-16,duration,intact,0,0.108,0.076,1,18.767828080160957,0.000286208
ewr-16,duration,intact,0,0.076,0.044,1,7.2527365964803705,0.000157709
ewr-16,duration,intact,0,0.092,0.06,1,11.759874780026362,0.000277792
ewr-16,duration,intact,0,0.112,0.08,1,24.890462732333305,0.000688584
ewr-16,duration,intact,0,0.104,0.072,1,15.83985273391428,0.0002955
ewr-16,duration,intact,0,0.076,0.044,1,7.251301378370627,0.000570667
ewr-16,duration,intact,1,0.108,0.076,1,23.64610438036464,0.000581916
ewr-16,duration,intact,1,0.1,0.068,1,14.95985787809695,0.000207125
ewr-16,duration,intact,1,0.08,0.048,1,7.911454214893737,0.000673958
ewr-16,duration,intact,1,0.092,0.06,1,11.760307996336062,0.000152834
