model,group,cell,condition,variant,accuracy,log_loss,brier
repaired/absolute,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/present,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-16,detached,intact,0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition1,ewr-16,detached,intact,0,0.0,0.8593609753493243,0.6637539115690916
repaired/transition2,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition3,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/absolute,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
streaming/present,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-16,detached,intact,0,0.0,6.907755278982137,1.90245
streaming/reference,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/transition1,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
streaming/transition2,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
streaming/transition3,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
fixed/absolute,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-16,detached,intact,0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
fixed/transition2,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/present,ewr-16,detached,intact,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-16,detached,intact,0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition1,ewr-16,detached,intact,0,1.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/transition3,ewr-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/absolute,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/present,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-16,detached,intact,1,0.0,6.907755278982137,1.90245
repaired/reference,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition1,ewr-16,detached,intact,1,0.0,0.8480101694295632,0.6526621464335125
repaired/transition2,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/transition3,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
streaming/absolute,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
streaming/present,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-16,detached,intact,1,0.0,6.907755278982137,1.90245
streaming/reference,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
streaming/transition1,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
streaming/transition2,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
streaming/transition3,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
fixed/absolute,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-16,detached,intact,1,0.0,6.907755278982137,1.2819812499999999
fixed/reference,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
fixed/transition2,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/present,ewr-16,detached,intact,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-16,detached,intact,1,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/transition1,ewr-16,detached,intact,1,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
oracle-boundary/transition3,ewr-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired/absolute,ewr-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/present,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-16,legato,intact,0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition1,ewr-16,legato,intact,0,0.0,0.7071753498229068,0.5130548264588015
repaired/transition2,ewr-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired/transition3,ewr-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
streaming/absolute,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
streaming/present,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-16,legato,intact,0,0.0,6.907755278982137,1.90245
streaming/reference,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
streaming/transition1,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
streaming/transition2,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
streaming/transition3,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
fixed/absolute,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-16,legato,intact,0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-16,legato,intact,0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
oracle-boundary/present,ewr-16,legato,intact,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-16,legato,intact,0,0.0,6.907755278982137,1.90245
