model,cell,condition,source_accuracy,false_match,rejection,transformation_accuracy,alignment_coverage
f32/absolute,detached,intact,1.0,0.0,0.0,0.375,0.84375
f32/absolute,duration,intact,0.6875,0.0,0.3125,0.0,0.5833333333333334
f32/absolute,joint,ambiguous,0.875,0.0,0.125,0.0,0.7291666666666667
f32/absolute,joint,intact,0.6875,0.0,0.3125,0.0,0.578125
f32/absolute,joint,removal,0.125,0.0,0.875,0.0,0.125
f32/absolute,joint,reset,0.0,0.0,1.0,0.0,0.0
f32/absolute,joint,shuffle,0.5625,0.0,0.4375,0.0,0.4765625
f32/absolute,joint,swap,0.6875,0.0,0.3125,0.0,0.578125
f32/absolute,joint,unrelated,0.0,0.0,1.0,0.0,0.0
f32/absolute,legato,intact,1.0,0.0,0.0,0.125,0.8333333333333334
f32/reference,detached,intact,0.5,0.0,0.0,0.375,0.859375
f32/reference,duration,intact,0.375,0.0,0.3125,0.0,0.5859375
f32/reference,joint,ambiguous,0.625,0.0,0.125,0.0,0.7291666666666667
f32/reference,joint,intact,0.375,0.0,0.3125,0.0,0.5807291666666666
f32/reference,joint,removal,0.125,0.0,0.5,0.0,0.4322916666666667
f32/reference,joint,reset,0.0,0.0,1.0,0.0,0.0
f32/reference,joint,shuffle,0.25,0.0,0.3125,0.0,0.5807291666666666
f32/reference,joint,swap,0.375,0.0,0.3125,0.0,0.5807291666666666
f32/reference,joint,unrelated,0.0,0.0,1.0,0.0,0.0
f32/reference,legato,intact,0.5,0.0,0.0,0.125,0.84375
f32/single,detached,intact,0.0,0.0,1.0,0.0,0.0
f32/single,duration,intact,0.0,0.0,0.75,0.0,0.25
f32/single,joint,ambiguous,0.0,0.0,0.75,0.0,0.25
f32/single,joint,intact,0.0,0.0,0.75,0.0,0.25
f32/single,joint,removal,0.0,0.0,0.75,0.0,0.25
f32/single,joint,reset,0.0,0.0,0.75,0.0,0.25
f32/single,joint,shuffle,0.0,0.0,0.75,0.0,0.25
f32/single,joint,swap,0.0,0.0,0.75,0.0,0.25
f32/single,joint,unrelated,0.0,0.25,0.75,0.0,0.25
f32/single,legato,intact,0.0,0.0,1.0,0.0,0.0
