model,comparison,difference,lower_familywise95,upper_familywise95
old_present,timbre-matched,-0.0625,-0.25,0.0
old_present,duration-matched,0.0,0.0,0.0
old_present,joint-matched,-0.0625,-0.25,0.0
old_recency,timbre-matched,-0.25,-0.625,0.0
old_recency,duration-matched,0.0,0.0,0.0
old_recency,joint-matched,-0.25,-0.625,0.0
old_transition1,timbre-matched,-0.25,-0.4375,-0.0625
old_transition1,duration-matched,0.0,0.0,0.0
old_transition1,joint-matched,-0.25,-0.4375,-0.0625
old_transition2,timbre-matched,-0.5,-0.875,-0.125
old_transition2,duration-matched,0.0,0.0,0.0
old_transition2,joint-matched,-0.5,-0.875,-0.125
old_transition3,timbre-matched,-0.5,-0.875,-0.125
old_transition3,duration-matched,0.0,0.0,0.0
old_transition3,joint-matched,-0.5,-0.875,-0.125
old_absolute,timbre-matched,-0.5,-0.875,-0.125
old_absolute,duration-matched,0.0,0.0,0.0
old_absolute,joint-matched,-0.5,-0.875,-0.125
old_reference,timbre-matched,-0.25,-0.625,0.0
old_reference,duration-matched,0.0,0.0,0.0
old_reference,joint-matched,-0.25,-0.625,0.0
repaired_present,timbre-matched,0.0,0.0,0.0
repaired_present,duration-matched,0.0,0.0,0.0
repaired_present,joint-matched,0.0,0.0,0.0
repaired_recency,timbre-matched,0.0,0.0,0.0
repaired_recency,duration-matched,0.0,0.0,0.0
repaired_recency,joint-matched,0.0,0.0,0.0
repaired_transition1,timbre-matched,0.0,0.0,0.0
repaired_transition1,duration-matched,0.0,0.0,0.0
repaired_transition1,joint-matched,0.0,0.0,0.0
repaired_transition2,timbre-matched,0.0,0.0,0.0
repaired_transition2,duration-matched,0.0,0.0,0.0
repaired_transition2,joint-matched,0.0,0.0,0.0
repaired_transition3,timbre-matched,0.0,0.0,0.0
repaired_transition3,duration-matched,0.0,0.0,0.0
repaired_transition3,joint-matched,0.0,0.0,0.0
repaired_absolute,timbre-matched,0.0,0.0,0.0
repaired_absolute,duration-matched,0.0,0.0,0.0
repaired_absolute,joint-matched,0.0,0.0,0.0
repaired_reference,timbre-matched,0.0,0.0,0.0
repaired_reference,duration-matched,0.0,0.0,0.0
repaired_reference,joint-matched,0.0,0.0,0.0
