adapter,group,family,register,pitched_blocks,availability,correct,mean_absolute_error_available,octave_error_rate,two_octave_error_rate
old,for-08,fundamental,0,194,1.0,1.0,3.8061010208247605e-05,0.0,0.0
repaired,for-08,fundamental,0,194,1.0,1.0,0.006830044218550336,0.0,0.0
old,for-09,pure,0,194,1.0,1.0,2.109237231225097e-05,0.0,0.0
repaired,for-09,pure,0,194,1.0,1.0,0.005958870253324866,0.0,0.0
old,for-10,pure,18,194,1.0,1.0,3.6678837452372237e-06,0.0,0.0
repaired,for-10,pure,18,194,1.0,1.0,0.001839629286501599,0.0,0.0
old,for-11,fundamental,18,194,1.0,1.0,6.403110951753698e-06,0.0,0.0
repaired,for-11,fundamental,18,194,1.0,1.0,0.0017545185249564488,0.0,0.0
old,for-12,overtone,0,194,1.0,0.7835051546391752,2.597965413804099,0.21649484536082475,0.0
repaired,for-12,overtone,0,194,1.0,1.0,0.007904401823046522,0.0,0.0
old,for-13,overtone,0,194,1.0,0.44329896907216493,6.6804292070480304,0.5567010309278351,0.0
repaired,for-13,overtone,0,194,1.0,1.0,0.00490795784870487,0.0,0.0
old,for-14,overtone,18,194,1.0,0.7835051546391752,2.5979417707163903,0.21649484536082475,0.0
repaired,for-14,overtone,18,194,1.0,1.0,0.0020409474143367975,0.0,0.0
old,for-15,overtone,18,194,1.0,0.44329896907216493,6.680417298084457,0.5567010309278351,0.0
repaired,for-15,overtone,18,194,1.0,1.0,0.0017141552963413124,0.0,0.0
