adapter,group,family,register,cell,condition,variant,arrival,available,correct,absolute_error,octave_error,two_octave_error
old,for-08,fundamental,0,matched,intact,0,0,1.0,1.0,2.4143421560394593e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,0,1.0,1.0,0.008622373448043768,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,1,1.0,1.0,3.6749455189166724e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,1,1.0,1.0,0.01292348162594159,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,2,1.0,1.0,3.62586863227321e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,2,1.0,1.0,0.005068453185284483,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,3,1.0,1.0,8.370062999829564e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,3,1.0,1.0,0.007198553938095653,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,5,1.0,1.0,2.4143421560394593e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,5,1.0,1.0,0.008622373448043768,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,6,1.0,1.0,9.608388384885203e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,6,1.0,1.0,0.011877520993521351,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,7,1.0,1.0,3.62586863227321e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,7,1.0,1.0,0.005068453185284483,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,8,1.0,1.0,3.5846691659457974e-06,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,8,1.0,1.0,0.003020557423088377,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,11,1.0,1.0,2.4143421560394593e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,11,1.0,1.0,0.008622373448043768,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,12,1.0,1.0,3.6749455189166724e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,12,1.0,1.0,0.01292348162594159,0.0,0.0
old,for-08,fundamental,0,matched,intact,0,13,1.0,1.0,3.62586863227321e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,0,13,1.0,1.0,0.005068453185284483,0.0,0.0
old,for-08,fundamental,0,matched,intact,1,0,1.0,1.0,2.4143421560394593e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,1,0,1.0,1.0,0.008622373448043768,0.0,0.0
old,for-08,fundamental,0,matched,intact,1,1,1.0,1.0,3.6749455189166724e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,1,1,1.0,1.0,0.01292348162594159,0.0,0.0
old,for-08,fundamental,0,matched,intact,1,2,1.0,1.0,3.62586863227321e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,1,2,1.0,1.0,0.005068453185284483,0.0,0.0
old,for-08,fundamental,0,matched,intact,1,3,1.0,1.0,3.5846691659457974e-06,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,1,3,1.0,1.0,0.003020557423088377,0.0,0.0
old,for-08,fundamental,0,matched,intact,1,5,1.0,1.0,2.4143421560394593e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,1,5,1.0,1.0,0.008622373448043768,0.0,0.0
old,for-08,fundamental,0,matched,intact,1,6,1.0,1.0,9.608388384885203e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,1,6,1.0,1.0,0.011877520993521351,0.0,0.0
old,for-08,fundamental,0,matched,intact,1,7,1.0,1.0,3.62586863227321e-05,0.0,0.0
repaired,for-08,fundamental,0,matched,intact,1,7,1.0,1.0,0.005068453185284483,0.0,0.0
