model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
old_absolute,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
old_absolute,joint,ambiguous,0.25,0.0625,0.4375,0.0,0.0,0.0,4.6645059143160825,1.9598164719994715,8.28836062372148,0.87471913625,0.6014848315625,1.1479534409375
old_absolute,joint,intact,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_absolute,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_absolute,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_absolute,joint,shuffle,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_absolute,joint,swap,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_absolute,matched,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
old_absolute,timbre,intact,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_present,duration,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,4.945653468342092,1.6683423221923093,8.497590996148688,0.9684690425,0.7187190425,1.1870002925
old_present,joint,ambiguous,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
