model,group,cell,condition,variant,accuracy,log_loss,brier
old_absolute,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-08,matched,intact,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,matched,intact,0,0.0,6.907755278982137,1.90245
old_reference,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-08,matched,intact,0,1.0,0.69410764165507,0.50000048
old_transition2,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_absolute,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_present,for-08,matched,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,matched,intact,0,0.0,6.907755278982137,1.90245
repaired_reference,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition1,for-08,matched,intact,0,1.0,0.69410764165507,0.50000048
repaired_transition2,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition3,for-08,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_absolute,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_present,for-08,matched,intact,1,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,matched,intact,1,0.0,6.907755278982137,1.90245
old_reference,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition1,for-08,matched,intact,1,0.0,0.69410764165507,0.50000048
old_transition2,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition3,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_absolute,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-08,matched,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,matched,intact,1,0.0,6.907755278982137,1.90245
repaired_reference,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-08,matched,intact,1,0.0,0.69410764165507,0.50000048
repaired_transition2,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-08,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_absolute,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-08,timbre,intact,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,timbre,intact,0,0.0,6.907755278982137,1.90245
old_reference,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-08,timbre,intact,0,1.0,0.69410764165507,0.50000048
old_transition2,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_absolute,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_present,for-08,timbre,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,timbre,intact,0,0.0,6.907755278982137,1.90245
repaired_reference,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition1,for-08,timbre,intact,0,1.0,0.69410764165507,0.50000048
repaired_transition2,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition3,for-08,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_absolute,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_present,for-08,timbre,intact,1,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,timbre,intact,1,0.0,6.907755278982137,1.90245
old_reference,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition1,for-08,timbre,intact,1,0.0,0.69410764165507,0.50000048
old_transition2,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition3,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_absolute,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-08,timbre,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,timbre,intact,1,0.0,6.907755278982137,1.90245
repaired_reference,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-08,timbre,intact,1,0.0,0.69410764165507,0.50000048
repaired_transition2,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-08,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_absolute,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,duration,intact,0,0.0,6.907755278982137,1.90245
old_reference,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-08,duration,intact,0,1.0,0.69410764165507,0.50000048
old_transition2,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_absolute,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_present,for-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,duration,intact,0,0.0,6.907755278982137,1.90245
repaired_reference,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition1,for-08,duration,intact,0,1.0,0.69410764165507,0.50000048
repaired_transition2,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition3,for-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_absolute,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_present,for-08,duration,intact,1,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,duration,intact,1,0.0,6.907755278982137,1.90245
old_reference,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition1,for-08,duration,intact,1,0.0,0.69410764165507,0.50000048
old_transition2,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition3,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_absolute,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-08,duration,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,duration,intact,1,0.0,6.907755278982137,1.90245
repaired_reference,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-08,duration,intact,1,0.0,0.69410764165507,0.50000048
repaired_transition2,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_absolute,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-08,joint,intact,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,intact,0,0.0,6.907755278982137,1.90245
old_reference,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-08,joint,intact,0,1.0,0.69410764165507,0.50000048
old_transition2,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_absolute,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_present,for-08,joint,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,intact,0,0.0,6.907755278982137,1.90245
repaired_reference,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition1,for-08,joint,intact,0,1.0,0.69410764165507,0.50000048
repaired_transition2,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
