model,comparison,difference,lower_familywise95,upper_familywise95
old_present,timbre-matched,-0.041666666666666664,-0.125,0.0
old_present,duration-matched,0.0,0.0,0.0
old_present,joint-matched,-0.041666666666666664,-0.125,0.0
old_recency,timbre-matched,-0.22916666666666666,-0.4583333333333333,-0.020833333333333332
old_recency,duration-matched,0.0,0.0,0.0
old_recency,joint-matched,-0.22916666666666666,-0.4583333333333333,-0.020833333333333332
old_transition1,timbre-matched,-0.22916666666666666,-0.3541666666666667,-0.10416666666666667
old_transition1,duration-matched,0.0,0.0,0.0
old_transition1,joint-matched,-0.22916666666666666,-0.3541666666666667,-0.10416666666666667
old_transition2,timbre-matched,-0.4583333333333333,-0.6875,-0.22916666666666666
old_transition2,duration-matched,0.0,0.0,0.0
old_transition2,joint-matched,-0.4583333333333333,-0.6875,-0.22916666666666666
old_transition3,timbre-matched,-0.4583333333333333,-0.6875,-0.22916666666666666
old_transition3,duration-matched,0.0,0.0,0.0
old_transition3,joint-matched,-0.4583333333333333,-0.6875,-0.22916666666666666
old_absolute,timbre-matched,-0.4583333333333333,-0.6875,-0.22916666666666666
old_absolute,duration-matched,0.0,0.0,0.0
old_absolute,joint-matched,-0.4583333333333333,-0.6875,-0.22916666666666666
old_reference,timbre-matched,-0.25,-0.4583333333333333,-0.041666666666666664
old_reference,duration-matched,0.0,0.0,0.0
old_reference,joint-matched,-0.25,-0.4583333333333333,-0.041666666666666664
repaired_present,timbre-matched,0.0,0.0,0.0
repaired_present,duration-matched,0.0,0.0,0.0
repaired_present,joint-matched,0.0,0.0,0.0
repaired_recency,timbre-matched,0.0,0.0,0.0
repaired_recency,duration-matched,0.0,0.0,0.0
repaired_recency,joint-matched,0.0,0.0,0.0
repaired_transition1,timbre-matched,0.0,0.0,0.0
repaired_transition1,duration-matched,0.0,0.0,0.0
repaired_transition1,joint-matched,0.0,0.0,0.0
repaired_transition2,timbre-matched,0.0,0.0,0.0
repaired_transition2,duration-matched,0.0,0.0,0.0
repaired_transition2,joint-matched,0.0,0.0,0.0
repaired_transition3,timbre-matched,0.0,0.0,0.0
repaired_transition3,duration-matched,0.0,0.0,0.0
repaired_transition3,joint-matched,0.0,0.0,0.0
repaired_absolute,timbre-matched,0.0,0.0,0.0
repaired_absolute,duration-matched,0.0,0.0,0.0
repaired_absolute,joint-matched,0.0,0.0,0.0
repaired_reference,timbre-matched,0.0,0.0,0.0
repaired_reference,duration-matched,0.0,0.0,0.0
repaired_reference,joint-matched,0.0,0.0,0.0
