adapter,group,family,register,pitched_blocks,availability,correct,mean_absolute_error_available,octave_error_rate,two_octave_error_rate
old,for-16,fundamental,0,194,1.0,1.0,3.211004311717208e-05,0.0,0.0
repaired,for-16,fundamental,0,194,1.0,1.0,0.0070014221639987054,0.0,0.0
old,for-17,pure,0,194,1.0,1.0,2.4677295326876196e-05,0.0,0.0
repaired,for-17,pure,0,194,1.0,1.0,0.008871401709151355,0.0,0.0
old,for-18,pure,18,194,1.0,1.0,2.6269717326163257e-06,0.0,0.0
repaired,for-18,pure,18,194,1.0,1.0,0.0015423853861181002,0.0,0.0
old,for-19,fundamental,18,194,1.0,1.0,6.471219633646197e-06,0.0,0.0
repaired,for-19,fundamental,18,194,1.0,1.0,0.001105833581444103,0.0,0.0
old,for-20,overtone,0,194,1.0,0.7835051546391752,2.5979737449483045,0.21649484536082475,0.0
repaired,for-20,overtone,0,194,1.0,1.0,0.005567373539146541,0.0,0.0
old,for-21,overtone,0,194,1.0,0.44329896907216493,6.680438837953753,0.5567010309278351,0.0
repaired,for-21,overtone,0,194,1.0,1.0,0.00456273559346979,0.0,0.0
old,for-22,overtone,18,194,1.0,0.7835051546391752,2.5979431032706928,0.21649484536082475,0.0
repaired,for-22,overtone,18,194,1.0,1.0,0.0018525695536365802,0.0,0.0
old,for-23,overtone,18,194,1.0,0.44329896907216493,6.680416313693347,0.5567010309278351,0.0
repaired,for-23,overtone,18,194,1.0,1.0,0.0035539573054568,0.0,0.0
old,for-24,fundamental,0,194,1.0,1.0,4.511659318075776e-05,0.0,0.0
repaired,for-24,fundamental,0,194,1.0,1.0,0.006077640060518465,0.0,0.0
old,for-25,pure,0,194,1.0,1.0,3.363524967927984e-05,0.0,0.0
repaired,for-25,pure,0,194,1.0,1.0,0.0071971307537211674,0.0,0.0
old,for-26,pure,18,194,1.0,1.0,4.844027701274676e-06,0.0,0.0
repaired,for-26,pure,18,194,1.0,1.0,0.0009592361849977412,0.0,0.0
old,for-27,fundamental,18,194,1.0,1.0,5.32825175581411e-06,0.0,0.0
repaired,for-27,fundamental,18,194,1.0,1.0,0.0022593266149049792,0.0,0.0
old,for-28,overtone,0,194,1.0,0.7835051546391752,2.597950829117226,0.21649484536082475,0.0
repaired,for-28,overtone,0,194,1.0,1.0,0.006237311709083342,0.0,0.0
old,for-29,overtone,0,194,1.0,0.44329896907216493,6.6804258478082605,0.5567010309278351,0.0
repaired,for-29,overtone,0,194,1.0,1.0,0.005132526669832303,0.0,0.0
old,for-30,overtone,18,194,1.0,0.7835051546391752,2.59794158819614,0.21649484536082475,0.0
repaired,for-30,overtone,18,194,1.0,1.0,0.0013020703676923707,0.0,0.0
old,for-31,overtone,18,194,1.0,0.44329896907216493,6.680417237136435,0.5567010309278351,0.0
repaired,for-31,overtone,18,194,1.0,1.0,0.003361951278050112,0.0,0.0
old,for-32,fundamental,0,194,1.0,1.0,3.690302010007238e-05,0.0,0.0
repaired,for-32,fundamental,0,194,1.0,1.0,0.006173797839707542,0.0,0.0
old,for-33,pure,0,194,1.0,1.0,1.9092735341906174e-05,0.0,0.0
repaired,for-33,pure,0,194,1.0,1.0,0.0063909674220860285,0.0,0.0
old,for-34,pure,18,194,1.0,1.0,5.6230412888044095e-06,0.0,0.0
repaired,for-34,pure,18,194,1.0,1.0,0.0010318692453896716,0.0,0.0
old,for-35,fundamental,18,194,1.0,1.0,6.166703837681039e-06,0.0,0.0
repaired,for-35,fundamental,18,194,1.0,1.0,0.002392059338967417,0.0,0.0
old,for-36,overtone,0,194,1.0,0.7835051546391752,2.597973863762593,0.21649484536082475,0.0
repaired,for-36,overtone,0,194,1.0,1.0,0.005235512383820752,0.0,0.0
old,for-37,overtone,0,194,1.0,0.44329896907216493,6.680432030479851,0.5567010309278351,0.0
repaired,for-37,overtone,0,194,1.0,1.0,0.005598232852111409,0.0,0.0
old,for-38,overtone,18,194,1.0,0.7835051546391752,2.5979416880192714,0.21649484536082475,0.0
repaired,for-38,overtone,18,194,1.0,1.0,0.0021274088535282853,0.0,0.0
old,for-39,overtone,18,194,1.0,0.44329896907216493,6.6804181745265385,0.5567010309278351,0.0
repaired,for-39,overtone,18,194,1.0,1.0,0.0023665974047471796,0.0,0.0
