adapter,group,family,register,cell,condition,variant,arrival,available,correct,absolute_error,octave_error,two_octave_error
old,for-16,fundamental,0,matched,intact,0,0,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,0,1.0,1.0,0.009693579214476993,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,1,1.0,1.0,2.7625300753619797e-05,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,1,1.0,1.0,0.013511066260936566,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,2,1.0,1.0,3.5376485829630155e-06,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,2,1.0,1.0,0.005723626116425962,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,3,1.0,1.0,5.883599457634503e-06,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,3,1.0,1.0,0.008292026372013206,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,5,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,5,1.0,1.0,0.009693579214476993,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,6,1.0,1.0,9.517469632935871e-05,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,6,1.0,1.0,0.01088300551649879,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,7,1.0,1.0,3.5376485829630155e-06,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,7,1.0,1.0,0.005723626116425962,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,8,1.0,1.0,7.316370954413287e-06,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,8,1.0,1.0,0.003835515740728823,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,11,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,11,1.0,1.0,0.009693579214476993,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,12,1.0,1.0,2.7625300753619797e-05,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,12,1.0,1.0,0.013511066260936566,0.0,0.0
old,for-16,fundamental,0,matched,intact,0,13,1.0,1.0,3.5376485829630155e-06,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,0,13,1.0,1.0,0.005723626116425962,0.0,0.0
old,for-16,fundamental,0,matched,intact,1,0,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,matched,intact,1,0,1.0,1.0,0.009693579214476993,0.0,0.0
