method,delay_s,mode,n,correct_singletons,source_covered,absent_false_accept,joint_best
accounts,0,intact,576,164,164,0,156
accounts,0,drop_reference,576,0,0,0,0
accounts,0,reset_before_query,576,0,0,0,0
accounts,16,intact,576,164,164,0,156
accounts,16,drop_reference,576,0,0,0,0
accounts,16,reset_before_query,576,0,0,0,0
old07,0,intact,576,198,198,0,
old07,0,drop_reference,576,0,0,0,
old07,0,reset_before_query,576,0,0,0,
old07,16,intact,576,198,198,0,
old07,16,drop_reference,576,0,0,0,
old07,16,reset_before_query,576,0,0,0,
count,0,intact,576,0,0,0,
count,0,drop_reference,576,0,0,0,
count,0,reset_before_query,576,0,0,0,
count,16,intact,576,0,0,0,
count,16,drop_reference,576,0,0,0,
count,16,reset_before_query,576,0,0,0,
envelope,0,intact,576,78,78,3,
envelope,0,drop_reference,576,0,0,0,
envelope,0,reset_before_query,576,0,0,0,
envelope,16,intact,576,38,78,40,
envelope,16,drop_reference,576,0,0,40,
envelope,16,reset_before_query,576,0,0,0,
