category,query_rule,total_query_n,matching_query_n,outcome_true_singleton,outcome_wrong_singleton,outcome_multiple_candidates,outcome_none,absent_false_accept_queries,true_margin_min,true_margin_median,true_margin_max,absent_margin_min,absent_margin_median,absent_margin_max,true_minus_absent_max_min,true_minus_absent_max_median,true_minus_absent_max_max
all_12_equal,any,576,17,0,0,0,17,0,-3.431084153481123,-2.5971884056580468,-1.7127181666950495,-3.431084153481123,-2.5971884056580468,-1.7127181666950495,0.0,0.0,0.0
all_12_equal,all,576,17,0,0,0,17,0,-3.431084153481123,-2.5971884056580468,-1.7127181666950495,-3.431084153481123,-2.5971884056580468,-1.7127181666950495,0.0,0.0,0.0
only_cost_timing_differ,any,576,104,4,0,0,100,0,-4.946186384594724,-0.42162634912104036,0.0002135100121058997,-4.946684099430648,-0.4219015997419193,-1.2761520000736937e-06,-0.0001562257847353976,0.0002410806695980483,0.0005599292081548413
only_cost_timing_differ,all,576,104,4,0,0,100,0,-4.946186384594724,-0.42162634912104036,0.0002135100121058997,-4.946684099430648,-0.4219015997419193,-1.2761520000736937e-06,-0.0001562257847353976,0.0002410806695980483,0.0005599292081548413
other_differences,any,576,455,160,0,0,295,0,-4.946186356287848,-0.2883428671886499,2.382312863856603,-10.350452064130181,-4.946426952650473,-0.4948968024391398,-2.102291603218907,4.671865172733957,9.609636516644636
other_differences,all,576,455,160,0,0,295,0,-4.946186356287848,-0.2883428671886499,2.382312863856603,-10.350452064130181,-4.946426952650473,-0.4948968024391398,-2.102291603218907,4.671865172733957,9.609636516644636
unavailable,any,576,0,0,0,0,0,0,,,,,,,,,
unavailable,all,576,0,0,0,0,0,0,,,,,,,,,
ten_equal,any,576,121,4,0,0,117,0,-4.946186384594724,-0.7514094438985524,0.0002135100121058997,-4.946684099430648,-0.7516505245681504,-1.2761520000736937e-06,-0.0001562257847353976,0.0002410806000678889,0.0005599292081548413
ten_equal,all,576,121,4,0,0,117,0,-4.946186384594724,-0.7514094438985524,0.0002135100121058997,-4.946684099430648,-0.7516505245681504,-1.2761520000736937e-06,-0.0001562257847353976,0.0002410806000678889,0.0005599292081548413
