query_id,candidate_id,path_index,used_for_support,role,saved_correspondences,missing_reference_indices,inserted_query_indices,pitch_shift,timing_scale,timing_offset_s,cost,mean_pitch_loss,mean_timing_loss,exact_pitch_fraction
e05_query_a_delete_closed,e05_distractor_0,0,True,impostor,"[[0, 0], [1, 1], [3, 2], [4, 3], [5, 4]]",[2],[],0.0,0.7748786165833865,0.030166266129249886,0.1525432877230473,0.0,0.04305194526765677,1.0
e05_query_a_delete_closed,e05_distractor_0,1,False,impostor,"[[0, 0], [1, 1], [2, 2], [4, 3], [5, 4]]",[3],[],0.0,0.7748786165833865,0.05066626482155978,0.2317802652495845,0.09499432563781737,0.043141992661684024,0.8
e05_query_a_delete_closed,e05_reference_a,0,True,true,"[[0, 0], [1, 1], [2, 2], [4, 3], [5, 4]]",[3],[],0.0,0.7748786165833865,0.05066626482155978,0.15261832721807,0.0,0.043141992661684024,1.0
e05_query_a_delete_closed,e05_reference_a,1,False,true,"[[0, 0], [1, 1], [3, 2], [4, 3], [5, 4]]",[2],[],0.0,0.7748786165833865,0.030166266129249886,0.23170522575456176,0.09499432563781737,0.04305194526765677,0.8
e05_query_b_delete_closed,e05_distractor_1,0,True,impostor,"[[0, 0], [1, 1], [3, 2], [4, 3], [5, 4]]",[2],[],0.0,0.7751891548366519,0.030124654002275805,0.15256049071191627,0.0,0.043072588854299536,1.0
e05_query_b_delete_closed,e05_reference_b,0,True,true,"[[0, 0], [1, 1], [2, 2], [4, 3], [5, 4]]",[3],[],0.0,0.7751891548366519,0.05059363672905659,0.15256047084370133,0.0,0.04307256501244161,1.0
e21_query_a_delete_closed,e21_distractor_3,0,True,impostor,"[[0, 0], [1, 1], [3, 2], [4, 3], [5, 4]]",[2],[],0.0,0.775000049896313,0.030149994064912422,0.15277500855824894,0.0,0.04333001026989873,1.0
e21_query_a_delete_closed,e21_reference_a,0,True,true,"[[0, 0], [1, 1], [2, 2], [4, 3], [5, 4]]",[3],[],0.0,0.775000049896313,0.05077498836521843,0.15262499065448829,0.0,0.04314998878538594,1.0
e21_query_b_delete_closed,e21_distractor_1,0,True,impostor,"[[0, 0], [2, 1], [4, 3], [5, 4]]","[1, 3]",[2],0.0,0.8999999422015625,-0.07739996913346803,0.3927666603140158,0.0,0.06414999047102372,1.0
e21_query_b_delete_closed,e21_distractor_1,1,False,impostor,"[[0, 0], [1, 2], [4, 3], [5, 4]]","[2, 3]",[1],0.0,0.7751890838730757,0.04013434464819056,0.4230625289584513,0.0,0.1095937934376771,1.0
e21_query_b_delete_closed,e21_reference_b,0,True,true,"[[0, 0], [1, 1], [2, 2], [4, 3], [5, 4]]",[3],[],0.0,0.7751890838730757,0.05036883715670515,0.15271034004821418,0.0,0.04325240805785704,1.0
