id,group_id,split,role,family,audio_sha256
e00_reference_a,e00,fit,reference,base,83920b9b1196909a831ebfae55cf20860d89cd2bc2dd561b756f809ff5a5278c
e00_reference_b,e00,fit,reference,base,8d331183e46d0f0ba33177b0155b11e46d813cbf62fd03818217138d8d8144e0
e00_distractor_0,e00,fit,distractor,base,029a719819a4085b266790a5c329da1e26b09cb1b39b9ff81d0880afa1f9e6b8
e00_distractor_1,e00,fit,distractor,base,6b4d4f480437328bf8cc76524d8350e4b81c9d8da9f4bf7925112fbab6730bda
e00_distractor_2,e00,fit,distractor,base,023ea5a07fddfc59f59a3eed8e9fcb62c6815a01435779100af7f149c0acb5b6
e00_distractor_3,e00,fit,distractor,base,bbd0099757d2e29e98ae55c4305fbc4e75ae92f874ffd9fc9ced76a5432855de
e00_distractor_4,e00,fit,distractor,base,1c8ff9487f20ce1e9b3c65b2c80ea2bc376221fc0e15d17eefb79985d2dbf90e
e00_distractor_5,e00,fit,distractor,base,11fa0d968785ddff093865b7a2877473852b2628872b09b9da7ec07c08e472a6
e00_distractor_6,e00,fit,distractor,base,62f4d61934df70736f198b44dfab56a2a673cbd3ab82e296e3f67ac2541e0301
e00_distractor_7,e00,fit,distractor,base,070438dc0c72de8fc6520d6fde9ef5d2cab0698e91f18c55c13fc37baf453a20
e00_twin_a,e00,fit,twin,base,9d1b8b004b864c035129d29b7b6216b2591a6f447915fa38be9e2ac4995ff92c
e00_query_a_exact,e00,fit,query,exact,83920b9b1196909a831ebfae55cf20860d89cd2bc2dd561b756f809ff5a5278c
e00_query_a_transpose,e00,fit,query,transpose,21d4eddb78ec889223b4ecda08bca1f53a47105f3d37b60600c3ca0d354df84a
e00_query_a_detune,e00,fit,query,detune,21bbe8fa80aeb516b923052d693d077d1361c88646a491d3ba2b350a334a093e
e00_query_a_timing,e00,fit,query,timing,d35efe05fe802f93e6ca1bbc0012b23df0670d87a610b1493e9b98bb17ea7733
e00_query_a_delete_rest,e00,fit,query,delete_rest,5c4b98bbcee05c20a096be37a7a4f341dd4b5482dfda546da3deafbed5e4aa4c
e00_query_a_delete_closed,e00,fit,query,delete_closed,4eecc8a6aeb58e171c149d8f25e6ab8e559a1a4f9413ef4817d1d925c2236146
e00_query_a_delete_two,e00,fit,query,delete_two,d1ed4c1ec2ad1f3eec8599a6da4de9f27cff864e6ddce1095b39ec8f115807a0
e00_query_a_substitute,e00,fit,query,substitute,423b85a436d89fa7148356c189c12d60d194ada12d9fb6be8f83e627b7437506
e00_query_a_insert,e00,fit,query,insert,ffd56efd57a7bf1631c52d2ea08b5ad80cd834a84a90b272599211a1b4f52df3
e00_query_a_delete_insert,e00,fit,query,delete_insert,b2cf217348b0bfd0cbba3fb4b7a3ee6842e05bf33c21a663b1de258d7dc22f94
e00_query_a_weak_present,e00,fit,query,weak_present,e1b8c5b1e11eb7d3e746b8e68e7f31bff69297ca740d8cc418c27c17ca643b81
e00_query_a_mask_present,e00,fit,query,mask_present,f18b0e4823aa12cd62897e0c5f8abc5a26ad2f34730580a50bff5b020eb4d5d4
e00_query_a_mask_absent,e00,fit,query,mask_absent,859af4e28915171c0c291a2a7a6ea5f2c960a5f92cb0b99bd9a4f8da8814b40e
e00_query_a_merged,e00,fit,query,merged,ec45ff93708c3ca2e4f9117c8aa2e83ab6206e5188974cddfd24c3d7a2416079
e00_query_a_legitimate_rest,e00,fit,query,legitimate_rest,4d281d455a7ad3fb979e14a003b50296806886338cb38722506a5ed0fe5b340f
e00_query_a_delete_transpose,e00,fit,query,delete_transpose,f309129c07f7e31fb3f20c87df9640eff7cfd44a3c0701a1e3bfbddaae8f601e
e00_query_a_delete_timing,e00,fit,query,delete_timing,5a726dad8fdbe6782ebbddf333669a017a86468c38f19480b0fb34a6aa55c5cb
